,Col0,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
3139,5770,CES219,MU219,781684,B-307Y,A359,VHHH,EDDF,2020-04-01 04:53:47+00:00,2020-04-02 03:44:57+00:00,20200402,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
3424,5435,FDX159,,a69495,N523FE,MD11,PANC,RJBB,2020-04-01 06:36:13+00:00,2020-04-02 01:45:25+00:00,20200402,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC,Kansai International Airport,34.42729949951172,135.24400329589844,26.0,AS,JP,JP-27,Osaka,RJBB,KIX,
3548,5710,CSN463,CZ463,7804c7,B-2072,B77L,KLAX,EDDF,2020-04-01 07:34:33+00:00,2020-04-02 14:05:27+00:00,20200402,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
3608,5836,UPS32,5X32,a76683,N576UP,B744,KSDF,YSSY,2020-04-01 07:56:37+00:00,2020-04-02 04:39:15+00:00,20200402,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
3966,6700,ICV8722,,4d010d,LX-YCV,B744,VHHH,LIMC,2020-04-01 09:55:12+00:00,2020-04-02 00:06:50+00:00,20200402,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Malpensa International Airport,45.6306,8.728110000000001,768.0,EU,IT,IT-25,Milan,LIMC,MXP,MI12
4083,6879,QTR8941,,06a1e6,A7-BFI,B77L,OTHH,OTHH,2020-04-01 10:10:34+00:00,2020-04-02 05:27:57+00:00,20200402,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
4131,6965,CSN469,CZ469,780654,B-2081,B77L,EHAM,EDDF,2020-04-01 10:18:58+00:00,2020-04-02 11:28:23+00:00,20200402,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
4227,7148,SOO949,9S949,a96b80,N706GT,,KCVG,RKSI,2020-04-01 10:36:50+00:00,2020-04-02 00:01:13+00:00,20200402,Cincinnati Northern Kentucky International Airport,39.0488014221,-84.6678009033,896.0,,US,US-KY,Cincinnati,KCVG,CVG,CVG,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
4258,7206,BOX510,,3c458e,D-AALN,B77L,VHHH,71KY,2020-04-01 10:44:18+00:00,2020-04-02 00:28:28+00:00,20200402,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Sunrise Acres Airport,39.0348014832,-84.87270355220001,465.0,,US,US-KY,Petersburg,71KY,,71KY
4322,7307,FDX77,,abba6c,N855FD,B77L,KOAK,YSSY,2020-04-01 10:54:36+00:00,2020-04-02 05:31:58+00:00,20200402,Metropolitan Oakland International Airport,37.721298,-122.221001,9.0,,US,US-CA,Oakland,KOAK,OAK,OAK,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
4479,7539,UAE407,EK407,896119,A6-ECR,B77W,YMML,OMDB,2020-04-01 11:14:06+00:00,2020-04-02 00:30:28+00:00,20200402,Melbourne International Airport,-37.673302,144.843002,434.0,OC,AU,AU-VIC,Melbourne,YMML,MEL,,Dubai International Airport,25.252799987800003,55.3643989563,62.0,AS,AE,AE-DU,Dubai,OMDB,DXB,
4659,11050,SIA38,SQ38,76cdb9,9V-SMY,A359,WSSS,KLAX,2020-04-01 11:44:21+00:00,2020-04-02 02:32:17+00:00,20200402,Singapore Changi Airport,1.35019,103.994003,22.0,AS,SG,SG-04,Singapore,WSSS,SIN,,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX
4864,8185,MPH8322,,4841c4,PH-CKB,B744,FABA,EHAM,2020-04-01 12:10:25+00:00,2020-04-02 04:08:57+00:00,20200402,Microland Flight Park,-25.976255771599998,28.389015197800003,5476.0,AF,ZA,ZA-GT,Bapsfontein,FABA,,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
4964,8349,CAL5117,CI5117,899107,B-18721,B744,KLAX,RCTP,2020-04-01 12:22:29+00:00,2020-04-02 02:13:56+00:00,20200402,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Taiwan Taoyuan International Airport,25.0777,121.233002,106.0,AS,TW,TW-TAO,Taipei,RCTP,TPE,
5222,8743,MPH7122,,4841c5,PH-CKC,B744,SBKP,KMIA,2020-04-01 12:53:17+00:00,2020-04-02 04:36:14+00:00,20200402,Viracopos International Airport,-23.0074005127,-47.1344985962,2170.0,SA,BR,BR-SP,Campinas,SBKP,VCP,,Miami International Airport,25.79319953918457,-80.29060363769531,8.0,,US,US-FL,Miami,KMIA,MIA,MIA
5370,8958,ETH3717,,04008c,ET-ARJ,B77L,VHHH,EBLG,2020-04-01 13:10:10+00:00,2020-04-02 01:58:11+00:00,20200402,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Li猫ge Airport,50.63740158081055,5.443220138549805,659.0,EU,BE,BE-WLG,Li猫ge,EBLG,LGG,
5545,9235,NCA141,KZ141,847183,JA16KZ,B748,KORD,VHHH,2020-04-01 13:32:23+00:00,2020-04-02 16:56:06+00:00,20200402,Chicago O'Hare International Airport,41.9786,-87.9048,672.0,,US,US-IL,Chicago,KORD,ORD,ORD,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
5800,9634,CSN462,CZ462,780da8,B-2026,B77L,EDDF,PANC,2020-04-01 14:01:29+00:00,2020-04-02 12:36:46+00:00,20200402,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC
5900,9771,CKS824,K4824,a98edc,N715CK,,PANC,VHHH,2020-04-01 14:11:28+00:00,2020-04-02 00:40:20+00:00,20200402,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
5923,9808,ICV6158,C86158,4d0117,LX-VCM,B748,ELLX,VHHH,2020-04-01 14:13:22+00:00,2020-04-02 01:16:08+00:00,20200402,Luxembourg-Findel International Airport,49.6233333,6.204444400000001,1234.0,EU,LU,LU-L,Luxembourg,ELLX,LUX,,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
5954,9848,KAL252,KE252,71c075,HL8075,B77L,KJFK,RKSI,2020-04-01 14:16:49+00:00,2020-04-02 03:54:59+00:00,20200402,John F Kennedy International Airport,40.63980103,-73.77890015,13.0,,US,US-NY,New York,KJFK,JFK,JFK,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
6002,9922,CLX7909,,4d0140,LX-OCV,B744,VHHH,ELLX,2020-04-01 14:23:17+00:00,2020-04-02 04:29:27+00:00,20200402,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Luxembourg-Findel International Airport,49.6233333,6.204444400000001,1234.0,EU,LU,LU-L,Luxembourg,ELLX,LUX,
6077,10043,CAL5137,CI5137,89911f,B-18711,B744,KLAX,RCTP,2020-04-01 14:34:04+00:00,2020-04-02 04:27:49+00:00,20200402,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Taiwan Taoyuan International Airport,25.0777,121.233002,106.0,AS,TW,TW-TAO,Taipei,RCTP,TPE,
6186,10202,BAW5,BA5,406f73,G-ZBKG,B789,EGLL,RJTT,2020-04-01 14:47:14+00:00,2020-04-02 01:21:29+00:00,20200402,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,,Tokyo Haneda International Airport,35.552299,139.779999,35.0,AS,JP,JP-13,Tokyo,RJTT,HND,
6188,10204,KLM867,KL867,485345,PH-BHM,B789,EHAM,RJBB,2020-04-01 14:47:22+00:00,2020-04-02 01:22:20+00:00,20200402,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Kansai International Airport,34.42729949951172,135.24400329589844,26.0,AS,JP,JP-27,Osaka,RJBB,KIX,
