,Col0,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
150561,245941,DHK923,D0923,405f32,G-DHLE,B763,EBBR,EBBR,2020-04-24 05:01:45+00:00,2020-04-25 03:02:48+00:00,20200425,Brussels Airport,50.9014015198,4.48443984985,184.0,EU,BE,BE-BRU,Brussels,EBBR,BRU,,Brussels Airport,50.9014015198,4.48443984985,184.0,EU,BE,BE-BRU,Brussels,EBBR,BRU,
150696,246261,CSN463,CZ463,780da9,B-2027,B77L,KLAX,EDDF,2020-04-24 06:34:44+00:00,2020-04-25 11:07:39+00:00,20200425,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
150700,246274,CSN452,CZ452,780da8,B-2026,B77L,EHAM,PANC,2020-04-24 06:39:51+00:00,2020-04-25 07:09:20+00:00,20200425,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC
150817,246517,QTR875,QR875,06a19f,A7-BED,B77W,OTHH,OTHH,2020-04-24 07:53:19+00:00,2020-04-25 01:49:08+00:00,20200425,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
150838,246559,UPS32,5X32,a76df1,N578UP,B744,KSDF,YSSY,2020-04-24 08:03:22+00:00,2020-04-25 04:22:27+00:00,20200425,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
151128,247232,UPS58,5X58,a7e6c7,N608UP,B748,KONT,VHHH,2020-04-24 10:04:39+00:00,2020-04-25 07:50:54+00:00,20200425,Ontario International Airport,34.05599975585937,-117.60099792480469,944.0,,US,US-CA,Ontario,KONT,ONT,ONT,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
151251,247440,CSN456,CZ456,780654,B-2081,B77L,EHAM,EDDF,2020-04-24 10:40:23+00:00,2020-04-25 13:41:26+00:00,20200425,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
151257,247451,CAO1038,CA1038,780bb9,B-2098,B77L,EHAM,PANC,2020-04-24 10:42:14+00:00,2020-04-25 07:22:57+00:00,20200425,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC
151336,247568,FDX77,FX77,ac50fa,N893FD,,KOAK,YSSY,2020-04-24 11:03:51+00:00,2020-04-25 05:30:54+00:00,20200425,Metropolitan Oakland International Airport,37.721298,-122.221001,9.0,,US,US-CA,Oakland,KOAK,OAK,OAK,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
151380,247640,LCO1105,UC1105,e80241,CC-CZZ,B763,SKBO,SAEZ,2020-04-24 11:12:28+00:00,2020-04-25 05:33:59+00:00,20200425,El Dorado International Airport,4.70159,-74.1469,8361.0,SA,CO,CO-CUN,Bogota,SKBO,BOG,BOG,Ministro Pistarini International Airport,-34.8222,-58.5358,67.0,SA,AR,AR-B,Buenos Aires,SAEZ,EZE,EZE
