,Col0,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
119018,193585,CSN451,CZ451,7805a9,B-2073,B77L,KORD,EHAM,2020-04-18 02:30:13+00:00,2020-04-19 11:43:25+00:00,20200419,Chicago O'Hare International Airport,41.9786,-87.9048,672.0,,US,US-IL,Chicago,KORD,ORD,ORD,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
119280,194122,CSN462,CZ462,7805aa,B-2075,B77L,EDDF,KLAX,2020-04-18 04:17:15+00:00,2020-04-19 07:20:52+00:00,20200419,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX
119641,195046,UPS32,5X32,a757a7,N572UP,B744,KSDF,YSSY,2020-04-18 09:11:59+00:00,2020-04-19 05:24:05+00:00,20200419,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
119790,195410,UPS36,5X36,a7ea7e,N609UP,B748,KSDF,RKSI,2020-04-18 10:22:24+00:00,2020-04-19 10:29:40+00:00,20200419,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
119880,195556,UAE407,EK407,89644f,A6-EPZ,B77W,YMML,OMDB,2020-04-18 10:48:16+00:00,2020-04-19 00:39:56+00:00,20200419,Melbourne International Airport,-37.673302,144.843002,434.0,OC,AU,AU-VIC,Melbourne,YMML,MEL,,Dubai International Airport,25.252799987800003,55.3643989563,62.0,AS,AE,AE-DU,Dubai,OMDB,DXB,
119934,195635,QTR860,QR860,06a031,A7-AEA,A333,OTHH,OTHH,2020-04-18 11:03:41+00:00,2020-04-19 04:05:34+00:00,20200419,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
120032,195782,UPS1938,5X1938,a806d8,N616UP,B748,KONT,VHHH,2020-04-18 11:23:18+00:00,2020-04-19 11:37:11+00:00,20200419,Ontario International Airport,34.05599975585937,-117.60099792480469,944.0,,US,US-CA,Ontario,KONT,ONT,ONT,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
120093,195906,AFR276,AF276,3965b4,F-GZNU,B77W,LFPG,LFPG,2020-04-18 11:40:56+00:00,2020-04-19 13:21:12+00:00,20200419,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,
120099,195913,QTR8941,QR8941,06a0de,A7-BFE,B77L,OTHH,OTHH,2020-04-18 11:41:47+00:00,2020-04-19 06:10:43+00:00,20200419,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
120132,195957,KLM898,KL898,484cbb,PH-BVG,B77W,RKSI,EHAM,2020-04-18 11:49:18+00:00,2020-04-19 01:04:28+00:00,20200419,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
