,Col0,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
19625,31234,CSN453,CZ453,780da8,B-2026,B77L,KORD,EHAM,2020-04-03 01:14:43+00:00,2020-04-04 07:46:52+00:00,20200404,Chicago O'Hare International Airport,41.9786,-87.9048,672.0,,US,US-IL,Chicago,KORD,ORD,ORD,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
20512,32676,CKS583,K4583,a99293,N716CK,,PANC,PANC,2020-04-03 03:24:22+00:00,2020-04-04 05:02:52+00:00,20200404,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC
20697,32960,IRM114,W5114,7335a4,EP-MMD,A343,WMKK,LTBW,2020-04-03 04:05:07+00:00,2020-04-04 15:35:49+00:00,20200404,Kuala Lumpur International Airport,2.7455799579619997,101.70999908446998,69.0,AS,MY,MY-14,Kuala Lumpur,WMKK,KUL,,陌stanbul Hezarfen Airfield,41.1035995483,28.547700881999997,57.0,EU,TR,TR-34,Istanbul,LTBW,,
21128,33810,CSN463,CZ463,7805a9,B-2073,B77L,KLAX,EDDF,2020-04-03 06:45:03+00:00,2020-04-04 12:28:58+00:00,20200404,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
21130,33817,CSN452,CZ452,7800eb,B-2010,B77L,EHAM,PANC,2020-04-03 06:45:50+00:00,2020-04-04 06:03:27+00:00,20200404,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC
21164,16067,AZG624,7L624,4242f7,VP-BCV,B744,RJBB,VHHH,2020-04-03 07:06:28+00:00,2020-04-04 03:21:22+00:00,20200404,Kansai International Airport,34.42729949951172,135.24400329589844,26.0,AS,JP,JP-27,Osaka,RJBB,KIX,,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
21186,11051,SIA37,SQ37,76cdb9,9V-SMY,A359,KLAX,WSAP,2020-04-03 07:15:13+00:00,2020-04-04 00:01:48+00:00,20200404,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Paya Lebar Air Base,1.360419988632202,103.91000366210938,65.0,AS,SG,SG-04,,WSAP,QPG,
21207,33995,CXA830,MF830,781112,B-7838,B789,KLAX,WMKK,2020-04-03 07:25:33+00:00,2020-04-04 05:01:45+00:00,20200404,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Kuala Lumpur International Airport,2.7455799579619997,101.70999908446998,69.0,AS,MY,MY-14,Kuala Lumpur,WMKK,KUL,
21303,34191,QTR875,QR875,06a1be,A7-BEH,B77W,OTHH,OTHH,2020-04-03 08:00:06+00:00,2020-04-04 01:57:59+00:00,20200404,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
21322,34226,UPS32,5X32,a777b8,N580UP,B744,KSDF,YSSY,2020-04-03 08:06:23+00:00,2020-04-04 04:34:55+00:00,20200404,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
