,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
634766,UAL2775,,a2e014,N2846U,,KSFO,VHHH,2020-03-29 00:15:57+00:00,2020-03-30 10:35:25+00:00,20200330,San Francisco International Airport,37.61899948120117,-122.375,13.0,,US,US-CA,San Francisco,KSFO,SFO,SFO,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
636290,QTR960,QR960,06a2b2,,,OTHH,OTHH,2020-03-29 05:18:07+00:00,2020-03-30 02:14:44+00:00,20200330,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
636417,CCA877,CA877,78103b,B-8579,A333,VHHH,EKCH,2020-03-29 06:08:03+00:00,2020-03-30 04:55:56+00:00,20200330,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Copenhagen Kastrup Airport,55.617900848389,12.656000137328999,17.0,EU,DK,DK-84,Copenhagen,EKCH,CPH,
636842,AUA1457,,440081,OE-LPD,B772,LOWW,YSSY,2020-03-29 09:24:20+00:00,2020-03-30 03:20:16+00:00,20200330,Vienna International Airport,48.110298156738004,16.569700241089002,600.0,EU,AT,AT-9,Vienna,LOWW,VIE,,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
636868,CLX7509,,4d0128,LX-SCV,B744,VHHH,ELLX,2020-03-29 09:34:49+00:00,2020-03-30 00:41:25+00:00,20200330,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Luxembourg-Findel International Airport,49.6233333,6.204444400000001,1234.0,EU,LU,LU-L,Luxembourg,ELLX,LUX,
637296,QTR909,QR909,06a2b3,,,YSSY,OTHH,2020-03-29 10:58:47+00:00,2020-03-30 01:35:25+00:00,20200330,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
637431,MPH7762,MP7762,4841c3,PH-CKA,B744,SBKP,KMIA,2020-03-29 11:11:22+00:00,2020-03-30 03:06:15+00:00,20200330,Viracopos International Airport,-23.0074005127,-47.1344985962,2170.0,SA,BR,BR-SP,Campinas,SBKP,VCP,,Miami International Airport,25.79319953918457,-80.29060363769531,8.0,,US,US-FL,Miami,KMIA,MIA,MIA
637488,UPS32,5X32,a77f26,N582UP,B744,KSDF,YSSY,2020-03-29 11:18:51+00:00,2020-03-30 07:53:04+00:00,20200330,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
637570,UAE9871,,8963a3,A6-EFS,B77L,OMDW,OMDW,2020-03-29 11:31:18+00:00,2020-03-30 05:57:55+00:00,20200330,Al Maktoum International Airport,24.896356,55.161389,114.0,AS,AE,AE-DU,Jebel Ali,OMDW,DWC,,Al Maktoum International Airport,24.896356,55.161389,114.0,AS,AE,AE-DU,Jebel Ali,OMDW,DWC,
637597,GTI8373,5Y8373,a4c3e4,N406KZ,,PANC,VHHH,2020-03-29 11:36:03+00:00,2020-03-30 02:23:56+00:00,20200330,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
