,Col0,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
27591,44032,CSN455,CZ455,780aeb,B-2041,B77L,RJBB,EHAM,2020-04-04 00:11:53+00:00,2020-04-05 03:20:56+00:00,20200405,Kansai International Airport,34.42729949951172,135.24400329589844,26.0,AS,JP,JP-27,Osaka,RJBB,KIX,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
29330,46900,EDW51,WK51,4b1901,HB-JMF,A343,YSSY,LSZH,2020-04-04 05:35:39+00:00,2020-04-05 04:14:17+00:00,20200405,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,,Z眉rich Airport,47.464698999999996,8.54917,1416.0,EU,CH,CH-ZH,Zurich,LSZH,ZRH,
29435,47147,CSN461,CZ461,7804c7,B-2072,B77L,KLAX,EDDF,2020-04-04 06:37:13+00:00,2020-04-05 11:03:29+00:00,20200405,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
29488,11854,SIA37,SQ37,76cdba,9V-SMZ,A359,KLAX,WSAP,2020-04-04 07:15:38+00:00,2020-04-05 00:07:09+00:00,20200405,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Paya Lebar Air Base,1.360419988632202,103.91000366210938,65.0,AS,SG,SG-04,,WSAP,QPG,
29557,47418,QTR875,QR875,06a078,A7-BAK,B77W,OTHH,OTHH,2020-04-04 07:57:29+00:00,2020-04-05 01:55:55+00:00,20200405,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
29670,47725,UPS32,5X32,a75b5e,N573UP,B744,KSDF,YSSY,2020-04-04 09:00:50+00:00,2020-04-05 06:17:09+00:00,20200405,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
29900,48183,FDX73,FX73,ab8f36,N844FD,B77L,RJBB,YSSY,2020-04-04 10:11:58+00:00,2020-04-05 08:38:08+00:00,20200405,Kansai International Airport,34.42729949951172,135.24400329589844,26.0,AS,JP,JP-27,Osaka,RJBB,KIX,,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
29969,48314,PAC749,PO749,ababb7,N851GT,B748,KCVG,VHHH,2020-04-04 10:30:09+00:00,2020-04-05 05:06:14+00:00,20200405,Cincinnati Northern Kentucky International Airport,39.0488014221,-84.6678009033,896.0,,US,US-KY,Cincinnati,KCVG,CVG,CVG,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
30016,48392,QTR860,QR860,06a031,A7-AEA,A333,OTHH,OTHH,2020-04-04 10:41:04+00:00,2020-04-05 04:27:45+00:00,20200405,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
30064,48474,UAE9877,EK9877,896170,A6-EFJ,B77L,OMDB,OMDB,2020-04-04 10:50:14+00:00,2020-04-05 05:47:24+00:00,20200405,Dubai International Airport,25.252799987800003,55.3643989563,62.0,AS,AE,AE-DU,Dubai,OMDB,DXB,,Dubai International Airport,25.252799987800003,55.3643989563,62.0,AS,AE,AE-DU,Dubai,OMDB,DXB,
30188,48671,UAE407,EK407,89617a,A6-EGB,B77W,YMML,OMDB,2020-04-04 11:11:59+00:00,2020-04-05 00:20:33+00:00,20200405,Melbourne International Airport,-37.673302,144.843002,434.0,OC,AU,AU-VIC,Melbourne,YMML,MEL,,Dubai International Airport,25.252799987800003,55.3643989563,62.0,AS,AE,AE-DU,Dubai,OMDB,DXB,
30361,49002,AFR276,AF276,3965b4,F-GZNU,B77W,LFPG,LFPG,2020-04-04 11:50:36+00:00,2020-04-05 13:47:11+00:00,20200405,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,
30452,1297,QTR8941,QR8941,06a1ed,A7-BFP,B77L,OTHH,OTHH,2020-04-04 12:05:40+00:00,2020-04-05 06:21:45+00:00,20200405,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
30602,49386,UPS36,5X36,a77b6f,N581UP,B744,KSDF,RKSI,2020-04-04 12:30:47+00:00,2020-04-05 09:04:29+00:00,20200405,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
30616,49410,CSN470,CZ470,7807bb,B-2080,B77L,EDDF,PANC,2020-04-04 12:33:15+00:00,2020-04-05 10:57:41+00:00,20200405,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC
30660,49483,MPH7552,MP7552,4841c3,PH-CKA,B744,SBKP,KMIA,2020-04-04 12:40:20+00:00,2020-04-05 03:40:53+00:00,20200405,Viracopos International Airport,-23.0074005127,-47.1344985962,2170.0,SA,BR,BR-SP,Campinas,SBKP,VCP,,Miami International Airport,25.79319953918457,-80.29060363769531,8.0,,US,US-FL,Miami,KMIA,MIA,MIA
30703,49551,DAL8874,DL8874,abe924,N867DA,B772,SAEZ,KU42,2020-04-04 12:47:03+00:00,2020-04-05 00:40:50+00:00,20200405,Ministro Pistarini International Airport,-34.8222,-58.5358,67.0,SA,AR,AR-B,Buenos Aires,SAEZ,EZE,EZE,South Valley Regional Airport,40.61949921,-111.99299620000001,4607.0,,US,US-UT,Salt Lake City,U42,,U42
30732,49598,FDX5126,FX5126,ac498c,N891FD,,RJBB,EBLG,2020-04-04 12:51:43+00:00,2020-04-05 05:56:10+00:00,20200405,Kansai International Airport,34.42729949951172,135.24400329589844,26.0,AS,JP,JP-27,Osaka,RJBB,KIX,,Li猫ge Airport,50.63740158081055,5.443220138549805,659.0,EU,BE,BE-WLG,Li猫ge,EBLG,LGG,
30877,49813,UAL2773,UA2773,a1cac9,N2140U,B77W,VHHH,KLAX,2020-04-04 13:11:47+00:00,2020-04-05 01:37:12+00:00,20200405,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX
31196,50300,UAL2801,UA2801,aaa4dc,N785UA,B772,VHHH,KORD,2020-04-04 14:03:21+00:00,2020-04-05 03:39:01+00:00,20200405,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Chicago O'Hare International Airport,41.9786,-87.9048,672.0,,US,US-IL,Chicago,KORD,ORD,ORD
