,Col0,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
175656,287223,ABW231,RU231,42431a,VP-BBL,B748,UUDD,KORD,2020-04-29 02:51:07+00:00,2020-04-30 04:58:17+00:00,20200430,Domodedovo International Airport,55.40879821777344,37.90629959106445,588.0,EU,RU,RU-MOS,Moscow,UUDD,DME,,Chicago O'Hare International Airport,41.9786,-87.9048,672.0,,US,US-IL,Chicago,KORD,ORD,ORD
175749,19684,CXA811,MF811,780c7f,B-2768,B788,RCTP,EHAM,2020-04-29 03:13:05+00:00,2020-04-30 03:52:29+00:00,20200430,Taiwan Taoyuan International Airport,25.0777,121.233002,106.0,AS,TW,TW-TAO,Taipei,RCTP,TPE,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
175893,287712,HVN37,VN37,888138,VN-A893,A359,VTBS,EDDF,2020-04-29 04:30:23+00:00,2020-04-30 11:04:23+00:00,20200430,Suvarnabhumi Airport,13.681099891662598,100.74700164794922,5.0,AS,TH,TH-10,Bangkok,VTBS,BKK,,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
176213,288386,BOX577,3S577,3c458a,D-AALJ,B77F,RKSI,EDDP,2020-04-29 07:49:04+00:00,2020-04-30 00:27:23+00:00,20200430,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,,Leipzig/Halle Airport,51.423889,12.236388999999999,465.0,EU,DE,DE-SN,Leipzig,EDDP,LEJ,
176258,288457,UPS32,5X32,a76683,N576UP,B744,KSDF,YSSY,2020-04-29 08:07:37+00:00,2020-04-30 04:41:46+00:00,20200430,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
176294,288521,QFA129,QF129,7c531f,VH-QPD,A333,YSSY,YSSY,2020-04-29 08:19:21+00:00,2020-04-30 06:51:14+00:00,20200430,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
176637,289220,UPS58,5X58,a80a8f,N617UP,,KONT,VHHH,2020-04-29 10:17:37+00:00,2020-04-30 06:03:06+00:00,20200430,Ontario International Airport,34.05599975585937,-117.60099792480469,944.0,,US,US-CA,Ontario,KONT,ONT,ONT,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
176713,289372,FDX77,FX77,abb2fe,N853FD,B77L,KOAK,YSSY,2020-04-29 10:38:52+00:00,2020-04-30 06:39:05+00:00,20200430,Metropolitan Oakland International Airport,37.721298,-122.221001,9.0,,US,US-CA,Oakland,KOAK,OAK,OAK,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
176763,289459,SOO949,9S949,aa7d2b,N775SA,B77L,KCVG,RKSI,2020-04-29 10:56:36+00:00,2020-04-30 00:20:50+00:00,20200430,Cincinnati Northern Kentucky International Airport,39.0488014221,-84.6678009033,896.0,,US,US-KY,Cincinnati,KCVG,CVG,CVG,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
176767,21139,UAE407,EK407,8964a6,A6-EQN,B77W,YMML,OMDB,2020-04-29 10:57:38+00:00,2020-04-30 00:21:53+00:00,20200430,Melbourne International Airport,-37.673302,144.843002,434.0,OC,AU,AU-VIC,Melbourne,YMML,MEL,,Dubai International Airport,25.252799987800003,55.3643989563,62.0,AS,AE,AE-DU,Dubai,OMDB,DXB,
176815,289529,FDX31,FX31,abcf58,N860FD,B77L,KOAK,RJBB,2020-04-29 11:07:18+00:00,2020-04-30 06:38:23+00:00,20200430,Metropolitan Oakland International Airport,37.721298,-122.221001,9.0,,US,US-CA,Oakland,KOAK,OAK,OAK,Kansai International Airport,34.42729949951172,135.24400329589844,26.0,AS,JP,JP-27,Osaka,RJBB,KIX,
176903,20150,QFA10,QF10,7c8065,VH-ZNB,B789,EGLL,YPPH,2020-04-29 11:27:53+00:00,2020-04-30 03:40:47+00:00,20200430,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,,Perth International Airport,-31.94029998779297,115.96700286865234,67.0,OC,AU,AU-WA,Perth,YPPH,PER,
176949,289755,FDX25,FX25,ac25c4,N882FD,B77L,VHHH,EBLG,2020-04-29 11:40:20+00:00,2020-04-30 00:14:13+00:00,20200430,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Li猫ge Airport,50.63740158081055,5.443220138549805,659.0,EU,BE,BE-WLG,Li猫ge,EBLG,LGG,
177019,289871,QTR3253,QR3253,06a2b0,A7-BEL,B77W,OTHH,KMIA,2020-04-29 11:58:12+00:00,2020-04-30 02:52:02+00:00,20200430,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Miami International Airport,25.79319953918457,-80.29060363769531,8.0,,US,US-FL,Miami,KMIA,MIA,MIA
177063,289937,MPH8322,MP8322,4841c3,PH-CKA,B744,FAOR,EHAM,2020-04-29 12:05:47+00:00,2020-04-30 04:51:23+00:00,20200430,OR Tambo International Airport,-26.1392,28.246,5558.0,AF,ZA,ZA-GT,Johannesburg,FAOR,JNB,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
177375,290448,ACA7154,AC7154,c01049,C-FGEI,B789,VHHH,CYYZ,2020-04-29 13:02:08+00:00,2020-04-30 03:34:14+00:00,20200430,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Lester B. Pearson International Airport,43.6772003174,-79.63059997559999,569.0,,CA,CA-ON,Toronto,CYYZ,YYZ,YYZ
177458,19879,HVN36,VN36,88813a,VN-A895,A359,EDDF,VTBS,2020-04-29 13:17:45+00:00,2020-04-30 02:32:41+00:00,20200430,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Suvarnabhumi Airport,13.681099891662598,100.74700164794922,5.0,AS,TH,TH-10,Bangkok,VTBS,BKK,
177488,290640,CSN462,CZ462,7804c7,B-2072,B77L,EDDF,PANC,2020-04-29 13:21:25+00:00,2020-04-30 15:35:25+00:00,20200430,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC
177525,290699,ICV6798,C86798,4d0113,LX-VCJ,B748,ELLX,VHHH,2020-04-29 13:28:12+00:00,2020-04-30 00:35:17+00:00,20200430,Luxembourg-Findel International Airport,49.6233333,6.204444400000001,1234.0,EU,LU,LU-L,Luxembourg,ELLX,LUX,,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
177530,290708,MPH7122,MP7122,4841c4,PH-CKB,B744,SBKP,KMIA,2020-04-29 13:30:03+00:00,2020-04-30 05:44:45+00:00,20200430,Viracopos International Airport,-23.0074005127,-47.1344985962,2170.0,SA,BR,BR-SP,Campinas,SBKP,VCP,,Miami International Airport,25.79319953918457,-80.29060363769531,8.0,,US,US-FL,Miami,KMIA,MIA,MIA
177546,290727,UAL2773,UA2773,a21633,N2331U,B77W,VHHH,KLAX,2020-04-29 13:31:55+00:00,2020-04-30 01:21:41+00:00,20200430,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX
177570,16338,THY6590,TK6590,4bb150,TC-LJP,B77L,KIAH,LTBA,2020-04-29 13:35:23+00:00,2020-04-30 00:36:56+00:00,20200430,George Bush Intercontinental Houston Airport,29.98439979553223,-95.34140014648438,97.0,,US,US-TX,Houston,KIAH,IAH,IAH,Atat眉rk International Airport,40.976898,28.8146,163.0,AS,TR,TR-34,Istanbul,LTBA,ISL,
177624,290836,NCA141,KZ141,8466c7,JA13KZ,B748,KORD,KHHR,2020-04-29 13:43:37+00:00,2020-04-30 18:54:26+00:00,20200430,Chicago O'Hare International Airport,41.9786,-87.9048,672.0,,US,US-IL,Chicago,KORD,ORD,ORD,Jack Northrop Field Hawthorne Municipal Airport,33.922798,-118.334999,66.0,,US,US-CA,Hawthorne,KHHR,HHR,HHR
177708,290976,VIR206,VS206,406e0f,G-VBZZ,B789,EGLL,VHHH,2020-04-29 14:00:42+00:00,2020-04-30 01:05:27+00:00,20200430,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
177723,21231,UAE235,EK235,8964a7,A6-EQO,B77W,OMDB,KORD,2020-04-29 14:02:19+00:00,2020-04-30 04:24:53+00:00,20200430,Dubai International Airport,25.252799987800003,55.3643989563,62.0,AS,AE,AE-DU,Dubai,OMDB,DXB,,Chicago O'Hare International Airport,41.9786,-87.9048,672.0,,US,US-IL,Chicago,KORD,ORD,ORD
177732,291009,AFL1743,SU1743,4249fc,VQ-BQZ,A333,UUEE,UUEE,2020-04-29 14:03:26+00:00,2020-04-30 09:54:24+00:00,20200430,Sheremetyevo International Airport,55.972599,37.4146,622.0,EU,RU,RU-MOS,Moscow,UUEE,SVO,,Sheremetyevo International Airport,55.972599,37.4146,622.0,EU,RU,RU-MOS,Moscow,UUEE,SVO,
177758,291053,KLM876,KL876,485343,PH-BHI,B789,VTBS,EHAM,2020-04-29 14:07:10+00:00,2020-04-30 01:48:19+00:00,20200430,Suvarnabhumi Airport,13.681099891662598,100.74700164794922,5.0,AS,TH,TH-10,Bangkok,VTBS,BKK,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
177804,291117,KAL252,KE252,71c285,HL8285,B77L,KJFK,RKSI,2020-04-29 14:13:29+00:00,2020-04-30 03:48:55+00:00,20200430,John F Kennedy International Airport,40.63980103,-73.77890015,13.0,,US,US-NY,New York,KJFK,JFK,JFK,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
