,Col0,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
128217,208845,CKK217,CK217,78071c,B-2083,B77L,KORD,EHAM,2020-04-20 00:23:07+00:00,2020-04-21 13:50:55+00:00,20200421,Chicago O'Hare International Airport,41.9786,-87.9048,672.0,,US,US-IL,Chicago,KORD,ORD,ORD,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
128651,209643,CSN474,CZ474,780aeb,B-2041,B77L,KLAX,PANC,2020-04-20 02:29:24+00:00,2020-04-21 07:47:26+00:00,20200421,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC
129000,210381,AZG647,7L647,4243c3,VQ-BVB,B748,RJBB,VHHH,2020-04-20 05:53:40+00:00,2020-04-21 09:15:15+00:00,20200421,Kansai International Airport,34.42729949951172,135.24400329589844,26.0,AS,JP,JP-27,Osaka,RJBB,KIX,,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
129443,211363,DLH727,LH727,3c6701,D-AIXA,A359,RKSI,EDDM,2020-04-20 10:42:11+00:00,2020-04-21 03:10:22+00:00,20200421,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,,Munich Airport,48.353802,11.7861,1487.0,EU,DE,DE-BY,Munich,EDDM,MUC,
129559,211562,KLM896,KL896,4840e0,PH-BFV,B744,RKSI,EHAM,2020-04-20 11:18:40+00:00,2020-04-21 02:52:20+00:00,20200421,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
129628,211690,KLM898,KL898,484560,PH-BVC,B77W,RKSI,EHAM,2020-04-20 11:40:07+00:00,2020-04-21 00:53:25+00:00,20200421,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
129893,212106,MPH8372,MP8372,4841c3,PH-CKA,B744,FARA,EHAM,2020-04-20 12:39:39+00:00,2020-04-21 04:54:12+00:00,20200421,Petit Airport,-26.084596345100003,28.390386581399998,5460.0,AF,ZA,ZA-GT,Daveyton,FARA,,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
130026,212317,UAL2773,UA2773,a1f2b1,N2243U,B77W,VHHH,KLAX,2020-04-20 13:09:03+00:00,2020-04-21 01:31:17+00:00,20200421,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX
130239,212652,CKS259,K4259,aa70b1,N772CK,,KLAX,YSSY,2020-04-20 13:56:53+00:00,2020-04-21 04:12:57+00:00,20200421,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
130282,212731,AFL1743,SU1743,42429b,VP-BDE,A333,UUEE,UUEE,2020-04-20 14:05:46+00:00,2020-04-21 09:26:54+00:00,20200421,Sheremetyevo International Airport,55.972599,37.4146,622.0,EU,RU,RU-MOS,Moscow,UUEE,SVO,,Sheremetyevo International Airport,55.972599,37.4146,622.0,EU,RU,RU-MOS,Moscow,UUEE,SVO,
130329,20918,SWR176,LX176,4b1921,HB-JNL,B77W,LSZH,WSSS,2020-04-20 14:12:11+00:00,2020-04-21 01:14:52+00:00,20200421,Z眉rich Airport,47.464698999999996,8.54917,1416.0,EU,CH,CH-ZH,Zurich,LSZH,ZRH,,Singapore Changi Airport,1.35019,103.994003,22.0,AS,SG,SG-04,Singapore,WSSS,SIN,
130404,212898,AFL1711,SU1711,4243df,VQ-BUC,B77W,UUEE,UUEE,2020-04-20 14:25:25+00:00,2020-04-21 07:35:41+00:00,20200421,Sheremetyevo International Airport,55.972599,37.4146,622.0,EU,RU,RU-MOS,Moscow,UUEE,SVO,,Sheremetyevo International Airport,55.972599,37.4146,622.0,EU,RU,RU-MOS,Moscow,UUEE,SVO,
130449,212966,CPA748,CX748,780a61,B-KQM,B77W,FAOR,VHHH,2020-04-20 14:37:40+00:00,2020-04-21 02:24:59+00:00,20200421,OR Tambo International Airport,-26.1392,28.246,5558.0,AF,ZA,ZA-GT,Johannesburg,FAOR,JNB,,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
130470,213000,BAW193,BA193,4007f2,G-YMMG,B772,EGLL,KDFW,2020-04-20 14:42:35+00:00,2020-04-21 00:09:59+00:00,20200421,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,,Dallas Fort Worth International Airport,32.896801,-97.038002,607.0,,US,US-TX,Dallas-Fort Worth,KDFW,DFW,DFW
