,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
646165,UAL2746,,a8e8a0,N673UA,B763,VHHH,KIAH,2020-03-30 06:20:34+00:00,2020-03-31 23:16:39+00:00,20200331,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,George Bush Intercontinental Houston Airport,29.98439979553223,-95.34140014648438,97.0,,US,US-TX,Houston,KIAH,IAH,IAH
646278,UPS56,,a7e310,N607UP,B748,KSDF,VHHH,2020-03-30 07:05:22+00:00,2020-03-31 07:44:19+00:00,20200331,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
646437,CAO1023,CA1023,780c5b,B-2091,B77L,KLAX,EHAM,2020-03-30 08:30:40+00:00,2020-03-31 12:03:24+00:00,20200331,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
646474,CFG783,,3c4ab3,D-ABUS,B763,EDDF,EDDF,2020-03-30 08:46:58+00:00,2020-03-31 06:47:48+00:00,20200331,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
646489,ETH3779,,04008c,ET-ARJ,B77L,VIDP,EDDF,2020-03-30 08:58:06+00:00,2020-03-31 03:58:29+00:00,20200331,Indira Gandhi International Airport,28.5665,77.103104,777.0,AS,IN,IN-DL,New Delhi,VIDP,DEL,,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
646560,AUA1029,,440002,OE-LPA,B772,LOWW,SAEZ,2020-03-30 09:25:12+00:00,2020-03-31 22:00:37+00:00,20200331,Vienna International Airport,48.110298156738004,16.569700241089002,600.0,EU,AT,AT-9,Vienna,LOWW,VIE,,Ministro Pistarini International Airport,-34.8222,-58.5358,67.0,SA,AR,AR-B,Buenos Aires,SAEZ,EZE,EZE
646589,AFR841,AF841,394a12,F-GSQS,B77W,LFPO,LFPO,2020-03-30 09:37:24+00:00,2020-03-31 05:54:38+00:00,20200331,Paris-Orly Airport,48.7233333,2.3794444,291.0,EU,FR,FR-IDF,Paris,LFPO,ORY,,Paris-Orly Airport,48.7233333,2.3794444,291.0,EU,FR,FR-IDF,Paris,LFPO,ORY,
646880,AUA1022,,440020,OE-LPB,B772,RPLL,LOWW,2020-03-30 10:34:12+00:00,2020-03-31 02:08:47+00:00,20200331,Ninoy Aquino International Airport,14.5086,121.019997,75.0,AS,PH,PH-U-A,Manila,RPLL,MNL,,Vienna International Airport,48.110298156738004,16.569700241089002,600.0,EU,AT,AT-9,Vienna,LOWW,VIE,
647012,LCO1741,UC1741,a6c7b2,N536LA,,SBKP,KMIA,2020-03-30 10:59:46+00:00,2020-03-31 04:20:03+00:00,20200331,Viracopos International Airport,-23.0074005127,-47.1344985962,2170.0,SA,BR,BR-SP,Campinas,SBKP,VCP,,Miami International Airport,25.79319953918457,-80.29060363769531,8.0,,US,US-FL,Miami,KMIA,MIA,MIA
647138,QTR909,QR909,06a2b5,,,YSSY,OTHH,2020-03-30 11:14:38+00:00,2020-03-31 01:38:39+00:00,20200331,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
