,Col0,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
124346,202899,THY6363,TK6363,4bb152,TC-LJR,B77L,KIAH,KJFK,2020-04-19 09:06:39+00:00,2020-04-20 12:47:27+00:00,20200420,George Bush Intercontinental Houston Airport,29.98439979553223,-95.34140014648438,97.0,,US,US-TX,Houston,KIAH,IAH,IAH,John F Kennedy International Airport,40.63980103,-73.77890015,13.0,,US,US-NY,New York,KJFK,JFK,JFK
124369,202953,UPS32,5X32,a7e6c7,N608UP,B748,KSDF,YSSY,2020-04-19 09:21:08+00:00,2020-04-20 05:40:53+00:00,20200420,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
124431,203087,GTI33,5Y33,abc96f,N859GT,B748,SKBO,SAEZ,2020-04-19 09:57:50+00:00,2020-04-20 00:47:17+00:00,20200420,El Dorado International Airport,4.70159,-74.1469,8361.0,SA,CO,CO-CUN,Bogota,SKBO,BOG,BOG,Ministro Pistarini International Airport,-34.8222,-58.5358,67.0,SA,AR,AR-B,Buenos Aires,SAEZ,EZE,EZE
124445,203114,CSN463,CZ463,7805aa,B-2075,B77L,KLAX,EDDF,2020-04-19 10:05:16+00:00,2020-04-20 15:57:51+00:00,20200420,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
124484,203185,AFR178,AF178,394a02,F-GSQC,B77W,LFPG,LFPG,2020-04-19 10:15:46+00:00,2020-04-20 11:12:11+00:00,20200420,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,
124599,20276,DLH727,LH727,3c670d,D-AIXM,A359,RKSI,EDDM,2020-04-19 11:00:07+00:00,2020-04-20 03:06:50+00:00,20200420,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,,Munich Airport,48.353802,11.7861,1487.0,EU,DE,DE-BY,Munich,EDDM,MUC,
124601,9778,GEC8400,LH8400,3c70c7,D-ALFG,B77L,EDDF,RKSI,2020-04-19 11:00:29+00:00,2020-04-20 01:52:29+00:00,20200420,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
124623,203427,QTR8941,QR8941,06a0df,A7-BFF,B77L,OTHH,OTHH,2020-04-19 11:05:52+00:00,2020-04-20 06:02:16+00:00,20200420,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
124646,20759,QFA9,QF9,7c806c,VH-ZNI,B789,YPPH,EGLL,2020-04-19 11:09:22+00:00,2020-04-20 04:55:07+00:00,20200420,Perth International Airport,-31.94029998779297,115.96700286865234,67.0,OC,AU,AU-WA,Perth,YPPH,PER,,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,
124667,203498,ANZ288,NZ288,c820ce,ZK-NZC,B789,NZAA,NZAA,2020-04-19 11:14:06+00:00,2020-04-20 17:22:38+00:00,20200420,Auckland International Airport,-37.0080986023,174.79200744599999,23.0,OC,NZ,NZ-AUK,Auckland,NZAA,AKL,,Auckland International Airport,-37.0080986023,174.79200744599999,23.0,OC,NZ,NZ-AUK,Auckland,NZAA,AKL,
