,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
626446,ETH714,,040087,ET-ARE,B788,KEWR,ESSA,2020-03-28 02:30:39+00:00,2020-03-29 04:07:43+00:00,20200329,Newark Liberty International Airport,40.69250106811523,-74.168701171875,18.0,,US,US-NJ,Newark,KEWR,EWR,EWR,Stockholm-Arlanda Airport,59.651901245116996,17.918600082397,137.0,EU,SE,SE-AB,Stockholm,ESSA,ARN,
627521,CSN454,CZ454,7800eb,B-2010,B77L,EHAM,PANC,2020-03-28 07:06:57+00:00,2020-03-29 06:28:29+00:00,20200329,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC
627568,CSN461,CZ461,780654,B-2081,B77L,KLAX,EDDF,2020-03-28 07:25:43+00:00,2020-03-29 12:59:28+00:00,20200329,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
627782,AZG1779,,4243fa,VQ-BWY,B748,EHAM,RJBB,2020-03-28 08:52:56+00:00,2020-03-29 01:50:26+00:00,20200329,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Kansai International Airport,34.42729949951172,135.24400329589844,26.0,AS,JP,JP-27,Osaka,RJBB,KIX,
627832,ABW753,,42431b,VP-BBP,B748,UUEE,EHAM,2020-03-28 09:10:20+00:00,2020-03-29 14:15:25+00:00,20200329,Sheremetyevo International Airport,55.972599,37.4146,622.0,EU,RU,RU-MOS,Moscow,UUEE,SVO,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
627852,UPS32,5X32,a7f08e,N610UP,B748,KSDF,YSSY,2020-03-28 09:15:55+00:00,2020-03-29 06:39:39+00:00,20200329,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
628187,CPA826,CX826,789216,,,VHHH,CYYZ,2020-03-28 10:22:18+00:00,2020-03-29 00:31:29+00:00,20200329,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Lester B. Pearson International Airport,43.6772003174,-79.63059997559999,569.0,,CA,CA-ON,Toronto,CYYZ,YYZ,YYZ
628246,PAC749,PO749,ababb7,N851GT,B748,KCVG,VHHH,2020-03-28 10:32:42+00:00,2020-03-29 05:31:28+00:00,20200329,Cincinnati Northern Kentucky International Airport,39.0488014221,-84.6678009033,896.0,,US,US-KY,Cincinnati,KCVG,CVG,CVG,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
628325,CPA812,CX812,780221,B-KPJ,B77W,VHHH,KBOS,2020-03-28 10:44:55+00:00,2020-03-29 01:22:50+00:00,20200329,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,20.0,,US,US-MA,Boston,KBOS,BOS,BOS
628363,FDX73,FX73,ac148f,N878FD,B77L,KOAK,YSSY,2020-03-28 10:51:48+00:00,2020-03-29 05:59:58+00:00,20200329,Metropolitan Oakland International Airport,37.721298,-122.221001,9.0,,US,US-CA,Oakland,KOAK,OAK,OAK,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
628451,CPA846,CX846,780a39,B-KQG,B77W,VHHH,KJFK,2020-03-28 11:04:50+00:00,2020-03-29 01:43:12+00:00,20200329,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,John F Kennedy International Airport,40.63980103,-73.77890015,13.0,,US,US-NY,New York,KJFK,JFK,JFK
628586,UPS58,,a76683,N576UP,B744,KONT,VHHH,2020-03-28 11:17:47+00:00,2020-03-29 11:07:02+00:00,20200329,Ontario International Airport,34.05599975585937,-117.60099792480469,944.0,,US,US-CA,Ontario,KONT,ONT,ONT,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
628632,QTR909,QR909,06a2b4,,,YSSY,OTHH,2020-03-28 11:25:15+00:00,2020-03-29 02:05:28+00:00,20200329,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
628671,CKK211,CK211,78029e,B-2425,B744,VTBS,EDDF,2020-03-28 11:31:34+00:00,2020-03-29 15:14:47+00:00,20200329,Suvarnabhumi Airport,13.681099891662598,100.74700164794922,5.0,AS,TH,TH-10,Bangkok,VTBS,BKK,,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
628767,KLM765,KL765,484f71,PH-AKA,A333,EHAM,EHAM,2020-03-28 11:45:54+00:00,2020-03-29 10:11:31+00:00,20200329,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
