,Col0,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
12285,19486,ETH703,ET703,040102,ET-ASH,B788,LIRF,VTBD,2020-04-02 04:28:50+00:00,2020-04-03 05:02:59+00:00,20200403,Leonardo da Vinci鈥揊iumicino Airport,41.800277799999996,12.238888900000001,13.0,EU,IT,IT-62,Rome,LIRF,FCO,RM11,Don Mueang International Airport,13.912599563599999,100.607002258,9.0,AS,TH,TH-10,Bangkok,VTBD,DMK,
12849,20635,UPS32,5X32,a7f445,N611UP,B748,KSDF,YSSY,2020-04-02 08:10:48+00:00,2020-04-03 05:09:42+00:00,20200403,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
12861,20662,QFA129,QF129,7c531d,VH-QPB,A333,YSSY,YSSY,2020-04-02 08:14:39+00:00,2020-04-03 19:02:57+00:00,20200403,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
12912,20792,CSN461,CZ461,780daa,B-2028,B77L,KORD,EDDF,2020-04-02 08:33:27+00:00,2020-04-03 13:48:51+00:00,20200403,Chicago O'Hare International Airport,41.9786,-87.9048,672.0,,US,US-IL,Chicago,KORD,ORD,ORD,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
12920,20814,CLX6604,CV6604,4d0101,LX-VCB,B748,ELLX,KLAX,2020-04-02 08:35:18+00:00,2020-04-03 01:43:58+00:00,20200403,Luxembourg-Findel International Airport,49.6233333,6.204444400000001,1234.0,EU,LU,LU-L,Luxembourg,ELLX,LUX,,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX
13192,21454,CSN465,CZ465,7804c6,B-2071,B77L,EHAM,EGSS,2020-04-02 10:02:28+00:00,2020-04-03 11:55:07+00:00,20200403,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,London Stansted Airport,51.8849983215,0.23499999940400002,348.0,EU,GB,GB-ENG,London,EGSS,STN,
13312,21665,UAE9871,EK9871,896172,A6-EFL,B77L,OMDB,OMDB,2020-04-02 10:23:50+00:00,2020-04-03 04:48:55+00:00,20200403,Dubai International Airport,25.252799987800003,55.3643989563,62.0,AS,AE,AE-DU,Dubai,OMDB,DXB,,Dubai International Airport,25.252799987800003,55.3643989563,62.0,AS,AE,AE-DU,Dubai,OMDB,DXB,
13317,21672,UPS58,5X58,a80a8f,N617UP,,KONT,VHHH,2020-04-02 10:24:29+00:00,2020-04-03 07:43:10+00:00,20200403,Ontario International Airport,34.05599975585937,-117.60099792480469,944.0,,US,US-CA,Ontario,KONT,ONT,ONT,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
13393,21816,QTR860,QR860,06a041,A7-AEG,A333,OTHH,OTHH,2020-04-02 10:43:14+00:00,2020-04-03 02:54:56+00:00,20200403,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
13539,22068,KLM810,KL810,4851b3,PH-BVP,B77W,WMKK,EHAM,2020-04-02 11:10:58+00:00,2020-04-03 00:13:11+00:00,20200403,Kuala Lumpur International Airport,2.7455799579619997,101.70999908446998,69.0,AS,MY,MY-14,Kuala Lumpur,WMKK,KUL,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
