,Col0,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
156009,255263,CSN461,CZ461,7800eb,B-2010,B77L,KLAX,EDDF,2020-04-25 06:55:37+00:00,2020-04-26 11:34:27+00:00,20200426,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
156034,255321,CSN454,CZ454,780aec,B-2042,B77L,EHAM,PANC,2020-04-25 07:19:08+00:00,2020-04-26 06:58:50+00:00,20200426,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC
156084,255435,LCO1105,UC1105,e80241,CC-CZZ,B763,SAEZ,KMIA,2020-04-25 08:05:36+00:00,2020-04-26 12:47:22+00:00,20200426,Ministro Pistarini International Airport,-34.8222,-58.5358,67.0,SA,AR,AR-B,Buenos Aires,SAEZ,EZE,EZE,Miami International Airport,25.79319953918457,-80.29060363769531,8.0,,US,US-FL,Miami,KMIA,MIA,MIA
156106,255498,QFA129,QF129,7c531f,VH-QPD,A333,YSSY,YSSY,2020-04-25 08:30:13+00:00,2020-04-26 06:44:58+00:00,20200426,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
156121,255541,QTR875,QR875,06a07a,A7-BAM,B77W,OTHH,OTHH,2020-04-25 08:42:34+00:00,2020-04-26 02:01:51+00:00,20200426,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
156171,20132,QTR954,QR954,06a2b5,A7-BEQ,B77W,OTHH,OTHH,2020-04-25 09:06:56+00:00,2020-04-26 03:35:29+00:00,20200426,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
156174,255671,UPS32,5X32,a75039,N570UP,B744,KSDF,YSSY,2020-04-25 09:08:16+00:00,2020-04-26 09:36:25+00:00,20200426,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
156413,256136,PAC749,PO749,a57e87,N453PA,B744,KCVG,VHHH,2020-04-25 10:38:44+00:00,2020-04-26 05:51:37+00:00,20200426,Cincinnati Northern Kentucky International Airport,39.0488014221,-84.6678009033,896.0,,US,US-KY,Cincinnati,KCVG,CVG,CVG,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
156432,256168,UPS36,5X36,a75f15,N574UP,B744,KSDF,RKSI,2020-04-25 10:44:41+00:00,2020-04-26 09:42:25+00:00,20200426,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
156478,256243,UAE407,EK407,896455,A6-EQF,B77W,YMML,OMDB,2020-04-25 11:01:51+00:00,2020-04-26 00:22:11+00:00,20200426,Melbourne International Airport,-37.673302,144.843002,434.0,OC,AU,AU-VIC,Melbourne,YMML,MEL,,Dubai International Airport,25.252799987800003,55.3643989563,62.0,AS,AE,AE-DU,Dubai,OMDB,DXB,
156547,256353,MPH7552,MP7552,4844ef,PH-MPS,B744,SBKP,KMIA,2020-04-25 11:18:38+00:00,2020-04-26 05:11:25+00:00,20200426,Viracopos International Airport,-23.0074005127,-47.1344985962,2170.0,SA,BR,BR-SP,Campinas,SBKP,VCP,,Miami International Airport,25.79319953918457,-80.29060363769531,8.0,,US,US-FL,Miami,KMIA,MIA,MIA
156580,256402,UPS58,5X58,a7ea7e,N609UP,B748,KONT,VHHH,2020-04-25 11:27:13+00:00,2020-04-26 11:40:49+00:00,20200426,Ontario International Airport,34.05599975585937,-117.60099792480469,944.0,,US,US-CA,Ontario,KONT,ONT,ONT,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
156615,256470,QTR860,QR860,06a031,A7-AEA,A333,OTHH,OTHH,2020-04-25 11:37:52+00:00,2020-04-26 04:14:59+00:00,20200426,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
156619,256477,AFR276,AF276,394a03,F-GSQD,B77W,LFPG,LFPG,2020-04-25 11:39:36+00:00,2020-04-26 13:07:21+00:00,20200426,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,
156695,256617,KLM898,KL898,4851f5,PH-BVR,B77W,RKSI,EHAM,2020-04-25 12:02:29+00:00,2020-04-26 01:31:51+00:00,20200426,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
156904,256961,HVN37,VN37,888138,VN-A893,A359,EDDF,EDDF,2020-04-25 12:47:23+00:00,2020-04-26 13:45:59+00:00,20200426,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
156936,257009,ACA7070,AC7070,c04067,C-FYKC,A319,CYYZ,CYYZ,2020-04-25 12:53:36+00:00,2020-04-26 00:10:24+00:00,20200426,Lester B. Pearson International Airport,43.6772003174,-79.63059997559999,569.0,,CA,CA-ON,Toronto,CYYZ,YYZ,YYZ,Lester B. Pearson International Airport,43.6772003174,-79.63059997559999,569.0,,CA,CA-ON,Toronto,CYYZ,YYZ,YYZ
157014,257128,CAL5261,CI5261,899106,B-18720,B744,KSEA,RCTP,2020-04-25 13:10:15+00:00,2020-04-26 01:19:53+00:00,20200426,Seattle Tacoma International Airport,47.449001,-122.308998,433.0,,US,US-WA,Seattle,KSEA,SEA,SEA,Taiwan Taoyuan International Airport,25.0777,121.233002,106.0,AS,TW,TW-TAO,Taipei,RCTP,TPE,
157077,257224,UAL2773,UA2773,a2b501,N2737U,B77W,VHHH,KLAX,2020-04-25 13:22:06+00:00,2020-04-26 00:44:56+00:00,20200426,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX
157162,257360,QTR8941,QR8941,06a1ec,A7-BFO,B77L,OTHH,OTHH,2020-04-25 13:37:57+00:00,2020-04-26 07:04:23+00:00,20200426,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
