,Col0,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
138856,226235,CXA811,MF811,780d78,B-2763,B788,YSSY,EHAM,2020-04-22 01:30:03+00:00,2020-04-23 03:50:56+00:00,20200423,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
139465,227384,DHK922,D0922,405f32,G-DHLE,B763,EBBR,EBBR,2020-04-22 04:58:26+00:00,2020-04-23 02:33:23+00:00,20200423,Brussels Airport,50.9014015198,4.48443984985,184.0,EU,BE,BE-BRU,Brussels,EBBR,BRU,,Brussels Airport,50.9014015198,4.48443984985,184.0,EU,BE,BE-BRU,Brussels,EBBR,BRU,
139491,227435,UAE363,EK363,8963e2,A6-EPS,B77W,OMDB,OMDB,2020-04-22 05:09:44+00:00,2020-04-23 00:36:22+00:00,20200423,Dubai International Airport,25.252799987800003,55.3643989563,62.0,AS,AE,AE-DU,Dubai,OMDB,DXB,,Dubai International Airport,25.252799987800003,55.3643989563,62.0,AS,AE,AE-DU,Dubai,OMDB,DXB,
139646,3640,SIA37,SQ37,76cdb6,9V-SMV,A359,KLAX,WSAP,2020-04-22 07:15:28+00:00,2020-04-23 00:21:18+00:00,20200423,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Paya Lebar Air Base,1.360419988632202,103.91000366210938,65.0,AS,SG,SG-04,,WSAP,QPG,
139688,227917,QTR8156,QR8156,06a1e8,A7-BFK,B77L,SAEZ,EBLG,2020-04-22 07:31:15+00:00,2020-04-23 06:25:39+00:00,20200423,Ministro Pistarini International Airport,-34.8222,-58.5358,67.0,SA,AR,AR-B,Buenos Aires,SAEZ,EZE,EZE,Li猫ge Airport,50.63740158081055,5.443220138549805,659.0,EU,BE,BE-WLG,Li猫ge,EBLG,LGG,
139797,228093,UPS32,5X32,a76683,N576UP,B744,KSDF,YSSY,2020-04-22 08:10:08+00:00,2020-04-23 04:37:57+00:00,20200423,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
139876,228239,QFA129,QF129,7c531c,VH-QPA,A333,YSSY,YSSY,2020-04-22 08:37:06+00:00,2020-04-23 20:01:02+00:00,20200423,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
140044,228655,CAO1033,CA1033,780c5d,B-2093,B77L,KLAX,EHAM,2020-04-22 09:48:20+00:00,2020-04-23 13:58:58+00:00,20200423,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
140158,328,GEC8410,LH8410,3c70c6,D-ALFF,B77L,EDDF,RKSI,2020-04-22 10:25:56+00:00,2020-04-23 02:04:23+00:00,20200423,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
140163,228868,UPS58,5X58,a8180d,N620UP,,KONT,VHHH,2020-04-22 10:27:23+00:00,2020-04-23 06:43:46+00:00,20200423,Ontario International Airport,34.05599975585937,-117.60099792480469,944.0,,US,US-CA,Ontario,KONT,ONT,ONT,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
140233,228988,UAE407,EK407,896119,A6-ECR,B77W,YMML,OMDB,2020-04-22 10:49:49+00:00,2020-04-23 00:12:56+00:00,20200423,Melbourne International Airport,-37.673302,144.843002,434.0,OC,AU,AU-VIC,Melbourne,YMML,MEL,,Dubai International Airport,25.252799987800003,55.3643989563,62.0,AS,AE,AE-DU,Dubai,OMDB,DXB,
140236,228995,SOO949,9S949,a98c7a,N714SA,B77L,KCVG,RKSI,2020-04-22 10:51:22+00:00,2020-04-23 00:37:13+00:00,20200423,Cincinnati Northern Kentucky International Airport,39.0488014221,-84.6678009033,896.0,,US,US-KY,Cincinnati,KCVG,CVG,CVG,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
140252,229024,DLH727,LH727,3c6703,D-AIXC,A359,RKSI,EDDM,2020-04-22 10:57:34+00:00,2020-04-23 03:06:08+00:00,20200423,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,,Munich Airport,48.353802,11.7861,1487.0,EU,DE,DE-BY,Munich,EDDM,MUC,
140311,229106,KLM896,KL896,4850f6,PH-BVN,B77W,RKSI,EHAM,2020-04-22 11:07:50+00:00,2020-04-23 02:28:46+00:00,20200423,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
140312,229114,FDX77,FX77,abc948,N859FD,B77L,KOAK,YSSY,2020-04-22 11:08:33+00:00,2020-04-23 05:37:28+00:00,20200423,Metropolitan Oakland International Airport,37.721298,-122.221001,9.0,,US,US-CA,Oakland,KOAK,OAK,OAK,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
140408,20760,QFA10,QF10,7c806c,VH-ZNI,B789,EGLL,YPPH,2020-04-22 11:33:41+00:00,2020-04-23 03:37:24+00:00,20200423,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,,Perth International Airport,-31.94029998779297,115.96700286865234,67.0,OC,AU,AU-WA,Perth,YPPH,PER,
140446,229328,FDX25,FX25,abe1eb,N865FD,,VHHH,LFPG,2020-04-22 11:43:24+00:00,2020-04-23 00:27:21+00:00,20200423,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,
140530,229476,MPH7122,MP7122,4841c4,PH-CKB,B744,SBKP,EHAM,2020-04-22 12:04:23+00:00,2020-04-23 13:45:58+00:00,20200423,Viracopos International Airport,-23.0074005127,-47.1344985962,2170.0,SA,BR,BR-SP,Campinas,SBKP,VCP,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
140621,11859,SIA38,SQ38,76cdba,9V-SMZ,A359,WSSS,KLAX,2020-04-22 12:19:04+00:00,2020-04-23 02:52:31+00:00,20200423,Singapore Changi Airport,1.35019,103.994003,22.0,AS,SG,SG-04,Singapore,WSSS,SIN,,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX
140653,229690,SOO275,9S275,aa7974,N774SA,B77L,KCVG,OBBI,2020-04-22 12:27:45+00:00,2020-04-23 01:18:27+00:00,20200423,Cincinnati Northern Kentucky International Airport,39.0488014221,-84.6678009033,896.0,,US,US-KY,Cincinnati,KCVG,CVG,CVG,Bahrain International Airport,26.27079963684082,50.63359832763672,6.0,AS,BH,BH-15,Manama,OBBI,BAH,
140778,229887,CSN469,CZ469,7804c6,B-2071,B77L,EDDF,EDDF,2020-04-22 12:48:57+00:00,2020-04-23 13:38:22+00:00,20200423,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
140974,230198,UAL2773,UA2773,a1c7e4,N2136U,B77W,VHHH,KLAX,2020-04-22 13:23:42+00:00,2020-04-23 01:17:11+00:00,20200423,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX
141135,230440,UAE235,EK235,89644d,A6-EPX,B77W,OMDB,KORD,2020-04-22 13:53:29+00:00,2020-04-23 04:30:49+00:00,20200423,Dubai International Airport,25.252799987800003,55.3643989563,62.0,AS,AE,AE-DU,Dubai,OMDB,DXB,,Chicago O'Hare International Airport,41.9786,-87.9048,672.0,,US,US-IL,Chicago,KORD,ORD,ORD
141144,230453,CSN462,CZ462,7800eb,B-2010,B77L,EDDF,PANC,2020-04-22 13:54:34+00:00,2020-04-23 12:05:59+00:00,20200423,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC
141180,230524,VIR206,VS206,406c3a,G-VYUM,B789,EGLL,VHHH,2020-04-22 14:02:49+00:00,2020-04-23 01:41:16+00:00,20200423,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
141213,230570,KLM807,KL807,4851b3,PH-BVP,B77W,EHAM,RCTP,2020-04-22 14:06:43+00:00,2020-04-23 02:04:58+00:00,20200423,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Taiwan Taoyuan International Airport,25.0777,121.233002,106.0,AS,TW,TW-TAO,Taipei,RCTP,TPE,
141241,230614,AFL1743,SU1743,4248f6,VQ-BBE,A332,UUEE,UUEE,2020-04-22 14:10:45+00:00,2020-04-23 09:24:33+00:00,20200423,Sheremetyevo International Airport,55.972599,37.4146,622.0,EU,RU,RU-MOS,Moscow,UUEE,SVO,,Sheremetyevo International Airport,55.972599,37.4146,622.0,EU,RU,RU-MOS,Moscow,UUEE,SVO,
141313,230722,KAL252,KE252,71c285,HL8285,B77L,KJFK,RKSI,2020-04-22 14:24:25+00:00,2020-04-23 04:01:06+00:00,20200423,John F Kennedy International Airport,40.63980103,-73.77890015,13.0,,US,US-NY,New York,KJFK,JFK,JFK,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
141317,230730,ETH704,ET704,040134,ET-AUC,A359,FABA,LFPG,2020-04-22 14:25:09+00:00,2020-04-23 04:43:53+00:00,20200423,Microland Flight Park,-25.976255771599998,28.389015197800003,5476.0,AF,ZA,ZA-GT,Bapsfontein,FABA,,,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,
141426,230902,BAW193,BA193,4007f3,G-YMMH,B772,EGLL,KDFW,2020-04-22 14:48:38+00:00,2020-04-23 00:25:24+00:00,20200423,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,,Dallas Fort Worth International Airport,32.896801,-97.038002,607.0,,US,US-TX,Dallas-Fort Worth,KDFW,DFW,DFW
141444,230933,BAW6,BA6,406d7a,G-ZBKD,B789,EGLL,EGLL,2020-04-22 14:52:09+00:00,2020-04-23 16:02:45+00:00,20200423,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,
141457,230957,KLM867,KL867,4851af,PH-BHD,B789,EHAM,RJBB,2020-04-22 14:55:52+00:00,2020-04-23 01:53:12+00:00,20200423,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Kansai International Airport,34.42729949951172,135.24400329589844,26.0,AS,JP,JP-27,Osaka,RJBB,KIX,
141536,231074,GEC8174,LH8174,3c70c2,D-ALFB,B77L,EDDF,KATL,2020-04-22 15:13:27+00:00,2020-04-23 00:33:42+00:00,20200423,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026.0,,US,US-GA,Atlanta,KATL,ATL,ATL
