,Col0,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
160055,261688,CXA811,MF811,78110e,B-7836,B789,YSSY,EHAM,2020-04-26 01:23:39+00:00,2020-04-27 04:06:54+00:00,20200427,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
160589,17629,CES219,MU219,7815a1,B-304N,A359,RCTP,EDDF,2020-04-26 07:37:03+00:00,2020-04-27 03:28:45+00:00,20200427,Taiwan Taoyuan International Airport,25.0777,121.233002,106.0,AS,TW,TW-TAO,Taipei,RCTP,TPE,,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
160622,20670,QTR954,QR954,06a2b3,A7-BEO,B77W,OTHH,OTHH,2020-04-26 08:07:09+00:00,2020-04-27 02:05:22+00:00,20200427,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
160665,18604,CPA881,CX881,789231,B-LXK,A35K,KLAX,VHHH,2020-04-26 08:43:16+00:00,2020-04-27 00:04:34+00:00,20200427,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
160691,263153,QTR875,QR875,06a1be,A7-BEH,B77W,OTHH,OTHH,2020-04-26 08:59:56+00:00,2020-04-27 01:49:23+00:00,20200427,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
160710,263190,UPS32,5X32,a777b8,N580UP,B744,KSDF,YSSY,2020-04-26 09:09:51+00:00,2020-04-27 05:42:29+00:00,20200427,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
160916,263612,CKK227,CK227,78062f,B-2078,B77L,VTBS,PANC,2020-04-26 10:47:48+00:00,2020-04-27 09:19:59+00:00,20200427,Suvarnabhumi Airport,13.681099891662598,100.74700164794922,5.0,AS,TH,TH-10,Bangkok,VTBS,BKK,,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC
160932,335,GEC8400,LH8400,3c70c6,D-ALFF,B77L,EDDF,RKSI,2020-04-26 10:52:53+00:00,2020-04-27 02:30:29+00:00,20200427,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
160961,20149,QFA9,QF9,7c8065,VH-ZNB,B789,YPPH,EGLL,2020-04-26 11:02:16+00:00,2020-04-27 04:10:30+00:00,20200427,Perth International Airport,-31.94029998779297,115.96700286865234,67.0,OC,AU,AU-WA,Perth,YPPH,PER,,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,
161014,263759,KLM894,KL894,484174,PH-BFW,B744,RKSI,EHAM,2020-04-26 11:13:45+00:00,2020-04-27 02:42:28+00:00,20200427,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
