,Col0,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
83792,135054,CSN465,CZ465,780aeb,B-2041,B77L,KLAX,EGSS,2020-04-12 00:52:19+00:00,2020-04-13 06:31:52+00:00,20200413,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,London Stansted Airport,51.8849983215,0.23499999940400002,348.0,EU,GB,GB-ENG,London,EGSS,STN,
84485,19352,CES219,MU219,781634,B-306Y,A359,RCTP,EDDF,2020-04-12 07:32:35+00:00,2020-04-13 03:41:02+00:00,20200413,Taiwan Taoyuan International Airport,25.0777,121.233002,106.0,AS,TW,TW-TAO,Taipei,RCTP,TPE,,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
84495,136665,QTR875,QR875,06a1bb,A7-BEE,B77W,OTHH,OTHH,2020-04-12 07:40:44+00:00,2020-04-13 01:49:29+00:00,20200413,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
84553,136846,SVA826,SV826,710055,HZ-AK13,B77W,OERK,OEDF,2020-04-12 08:44:20+00:00,2020-04-13 03:20:55+00:00,20200413,King Khaled International Airport,24.957599639892575,46.69879913330078,2049.0,AS,SA,SA-01,Riyadh,OERK,RUH,,King Fahd International Airport,26.471200942993164,49.79790115356445,72.0,AS,SA,SA-04,Ad Dammam,OEDF,DMM,
84576,136912,UPS32,5X32,a76683,N576UP,B744,KSDF,YSSY,2020-04-12 09:03:07+00:00,2020-04-13 05:33:23+00:00,20200413,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
84813,137398,KYE4515,GG4515,ac7a61,N903AR,B744,KORD,KMIA,2020-04-12 10:39:13+00:00,2020-04-13 07:13:24+00:00,20200413,Chicago O'Hare International Airport,41.9786,-87.9048,672.0,,US,US-IL,Chicago,KORD,ORD,ORD,Miami International Airport,25.79319953918457,-80.29060363769531,8.0,,US,US-FL,Miami,KMIA,MIA,MIA
84826,137426,CKK215,CK215,780630,B-2079,B77L,VTBS,LKPR,2020-04-12 10:44:14+00:00,2020-04-13 13:27:12+00:00,20200413,Suvarnabhumi Airport,13.681099891662598,100.74700164794922,5.0,AS,TH,TH-10,Bangkok,VTBS,BKK,,V谩clav Havel Airport Prague,50.1008,14.26,1247.0,EU,CZ,CZ-PR,Prague,LKPR,PRG,
84843,137455,DLH727,LH727,3c6703,D-AIXC,A359,RKSI,EDDM,2020-04-12 10:49:21+00:00,2020-04-13 03:01:55+00:00,20200413,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,,Munich Airport,48.353802,11.7861,1487.0,EU,DE,DE-BY,Munich,EDDM,MUC,
84859,20178,QFA9,QF9,7c8068,VH-ZNE,B789,YPPH,EGLL,2020-04-12 10:53:43+00:00,2020-04-13 04:13:51+00:00,20200413,Perth International Airport,-31.94029998779297,115.96700286865234,67.0,OC,AU,AU-WA,Perth,YPPH,PER,,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,
84861,137486,GEC8400,LH8400,3c70c3,D-ALFC,B77L,EDDF,RKSI,2020-04-12 10:53:56+00:00,2020-04-13 01:42:56+00:00,20200413,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
84939,137623,KLM896,KL896,485000,PH-BVK,B77W,RKSI,EHAM,2020-04-12 11:13:09+00:00,2020-04-13 02:47:00+00:00,20200413,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
85038,18143,SIA38,SQ38,76cd41,9V-SJA,A359,WSSS,KLAX,2020-04-12 11:40:55+00:00,2020-04-13 02:00:47+00:00,20200413,Singapore Changi Airport,1.35019,103.994003,22.0,AS,SG,SG-04,Singapore,WSSS,SIN,,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX
85474,138524,KAL258,KE258,71c005,HL8005,B77L,KJFK,RKSI,2020-04-12 13:13:27+00:00,2020-04-13 03:31:42+00:00,20200413,John F Kennedy International Airport,40.63980103,-73.77890015,13.0,,US,US-NY,New York,KJFK,JFK,JFK,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
85477,138530,UAL2773,UA2773,a1f2b1,N2243U,B77W,VHHH,KLAX,2020-04-12 13:14:04+00:00,2020-04-13 01:19:29+00:00,20200413,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX
85581,138713,KLM601,KL601,484cbb,PH-BVG,B77W,EHAM,KLAX,2020-04-12 13:37:08+00:00,2020-04-13 00:23:21+00:00,20200413,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX
85608,138747,CSN468,CZ468,7804c6,B-2071,B77L,EDDF,PANC,2020-04-12 13:41:49+00:00,2020-04-13 13:09:48+00:00,20200413,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC
85616,138770,MPH8562,MP8562,4841c5,PH-CKC,B744,FAOR,EHAM,2020-04-12 13:45:19+00:00,2020-04-13 04:00:28+00:00,20200413,OR Tambo International Airport,-26.1392,28.246,5558.0,AF,ZA,ZA-GT,Johannesburg,FAOR,JNB,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
85727,138946,KLM836,KL836,4851b3,PH-BVP,B77W,WSSS,EHAM,2020-04-12 14:07:56+00:00,2020-04-13 02:50:38+00:00,20200413,Singapore Changi Airport,1.35019,103.994003,22.0,AS,SG,SG-04,Singapore,WSSS,SIN,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
85728,2595,EVA620,BR620,899121,B-16781,B77L,RCTP,KLAX,2020-04-12 14:08:06+00:00,2020-04-13 01:16:38+00:00,20200413,Taiwan Taoyuan International Airport,25.0777,121.233002,106.0,AS,TW,TW-TAO,Taipei,RCTP,TPE,,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX
85758,138990,AAR7821,OZ7821,71bc15,HL7415,B744,EDDF,RKSI,2020-04-12 14:13:14+00:00,2020-04-13 00:21:22+00:00,20200413,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
85849,139135,TNO300,6R300,0d0822,XA-EFR,B762,MROC,KLAX,2020-04-12 14:34:09+00:00,2020-04-13 03:19:49+00:00,20200413,Juan Santamaria International Airport,9.993860244750977,-84.20880126953125,3021.0,,CR,CR-A,San Jose,MROC,SJO,,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX
85885,139190,BAW193,BA193,4007f2,G-YMMG,B772,EGLL,KDFW,2020-04-12 14:42:57+00:00,2020-04-13 00:39:28+00:00,20200413,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,,Dallas Fort Worth International Airport,32.896801,-97.038002,607.0,,US,US-TX,Dallas-Fort Worth,KDFW,DFW,DFW
85952,139296,KLM166,KL166,484cbc,PH-BVI,B77W,EHAM,KATL,2020-04-12 15:01:12+00:00,2020-04-13 00:15:58+00:00,20200413,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026.0,,US,US-GA,Atlanta,KATL,ATL,ATL
85953,139297,THY6666,TK6666,4b8472,TC-ACR,B744,LTBA,WSAP,2020-04-12 15:01:39+00:00,2020-04-13 05:55:49+00:00,20200413,Atat眉rk International Airport,40.976898,28.8146,163.0,AS,TR,TR-34,Istanbul,LTBA,ISL,,Paya Lebar Air Base,1.360419988632202,103.91000366210938,65.0,AS,SG,SG-04,,WSAP,QPG,
86049,18240,BAW227,BA227,40749b,G-ZBKR,B789,EGLL,KATL,2020-04-12 15:17:36+00:00,2020-04-13 00:08:53+00:00,20200413,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026.0,,US,US-GA,Atlanta,KATL,ATL,ATL
86052,139429,THY6567,TK6567,4bb152,TC-LJR,B77L,LTBA,KATL,2020-04-12 15:18:07+00:00,2020-04-13 03:24:27+00:00,20200413,Atat眉rk International Airport,40.976898,28.8146,163.0,AS,TR,TR-34,Istanbul,LTBA,ISL,,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026.0,,US,US-GA,Atlanta,KATL,ATL,ATL
86055,139432,ABD367,CC367,4cc3d2,TF-AMP,B744,EDDF,KATL,2020-04-12 15:18:20+00:00,2020-04-13 00:52:09+00:00,20200413,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026.0,,US,US-GA,Atlanta,KATL,ATL,ATL
86076,6035,THY6438,TK6438,4bb153,TC-LJS,B77L,KIAH,LTBA,2020-04-12 15:22:07+00:00,2020-04-13 02:29:17+00:00,20200413,George Bush Intercontinental Houston Airport,29.98439979553223,-95.34140014648438,97.0,,US,US-TX,Houston,KIAH,IAH,IAH,Atat眉rk International Airport,40.976898,28.8146,163.0,AS,TR,TR-34,Istanbul,LTBA,ISL,
86118,139511,CKS249,K4249,aa70b1,N772CK,,YMML,VHHH,2020-04-12 15:29:05+00:00,2020-04-13 00:14:22+00:00,20200413,Melbourne International Airport,-37.673302,144.843002,434.0,OC,AU,AU-VIC,Melbourne,YMML,MEL,,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
86144,139545,VIR206,VS206,406e11,G-VOWS,B789,EGLL,VHHH,2020-04-12 15:33:23+00:00,2020-04-13 02:41:09+00:00,20200413,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
86281,139752,LCO1501,UC1501,a6b8d6,N532LA,B763,EDDF,SBKP,2020-04-12 15:58:29+00:00,2020-04-13 06:17:22+00:00,20200413,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Viracopos International Airport,-23.0074005127,-47.1344985962,2170.0,SA,BR,BR-SP,Campinas,SBKP,VCP,
86295,139768,CPA101,CX101,780ab8,B-LRM,A359,VHHH,YSSY,2020-04-12 15:59:36+00:00,2020-04-13 00:34:15+00:00,20200413,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
86326,139813,VIR207,VS207,406e10,G-VDIA,B789,VHHH,EGLL,2020-04-12 16:05:05+00:00,2020-04-13 04:44:41+00:00,20200413,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,
86342,139838,JAL11,JL11,86e430,JA863J,B789,KDFW,RJTT,2020-04-12 16:08:03+00:00,2020-04-13 05:15:44+00:00,20200413,Dallas Fort Worth International Airport,32.896801,-97.038002,607.0,,US,US-TX,Dallas-Fort Worth,KDFW,DFW,DFW,Tokyo Haneda International Airport,35.552299,139.779999,35.0,AS,JP,JP-13,Tokyo,RJTT,HND,
86360,16834,CPA251,CX251,789219,B-LXG,A35K,VHHH,EGLL,2020-04-12 16:11:33+00:00,2020-04-13 04:30:59+00:00,20200413,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,
86376,11421,DAL1239,DL1239,a4996b,N396DN,A321,KDTW,KATL,2020-04-12 16:14:52+00:00,2020-04-13 00:28:46+00:00,20200413,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203,645.0,,US,US-MI,Detroit,KDTW,DTW,DTW,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026.0,,US,US-GA,Atlanta,KATL,ATL,ATL
