,Col0,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
89898,145439,CSN5203,CZ5203,780da8,B-2026,B77L,VTBS,EHAM,2020-04-13 05:20:43+00:00,2020-04-14 04:03:58+00:00,20200414,Suvarnabhumi Airport,13.681099891662598,100.74700164794922,5.0,AS,TH,TH-10,Bangkok,VTBS,BKK,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
90035,3638,SIA37,SQ37,76cdb6,9V-SMV,A359,KLAX,WSAP,2020-04-13 07:12:06+00:00,2020-04-14 00:04:31+00:00,20200414,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Paya Lebar Air Base,1.360419988632202,103.91000366210938,65.0,AS,SG,SG-04,,WSAP,QPG,
90073,145887,QTR875,QR875,06a069,A7-BAE,B77W,OTHH,OTHH,2020-04-13 07:53:27+00:00,2020-04-14 01:36:50+00:00,20200414,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
90170,146149,LCO1771,UC1771,a6d8e7,N540LA,,SBKP,KMIA,2020-04-13 09:18:47+00:00,2020-04-14 00:40:01+00:00,20200414,Viracopos International Airport,-23.0074005127,-47.1344985962,2170.0,SA,BR,BR-SP,Campinas,SBKP,VCP,,Miami International Airport,25.79319953918457,-80.29060363769531,8.0,,US,US-FL,Miami,KMIA,MIA,MIA
90406,146611,GEC8400,LH8400,3c70c4,D-ALFD,B77L,EDDF,RKSI,2020-04-13 10:49:23+00:00,2020-04-14 01:42:14+00:00,20200414,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
90446,20270,DLH727,LH727,3c670d,D-AIXM,A359,RKSI,EDDM,2020-04-13 10:59:33+00:00,2020-04-14 03:06:26+00:00,20200414,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,,Munich Airport,48.353802,11.7861,1487.0,EU,DE,DE-BY,Munich,EDDM,MUC,
90645,147000,AFR275,AF275,3965b1,F-GZNR,B77W,LFPG,LFPG,2020-04-13 11:45:18+00:00,2020-04-14 13:38:05+00:00,20200414,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,
90730,9711,CLX7909,CV7909,4d012d,LX-KCL,B744,VHHH,ELLX,2020-04-13 12:08:29+00:00,2020-04-14 04:06:39+00:00,20200414,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Luxembourg-Findel International Airport,49.6233333,6.204444400000001,1234.0,EU,LU,LU-L,Luxembourg,ELLX,LUX,
90786,13693,KLM898,KL898,485785,PH-BHN,B789,RKSI,EHAM,2020-04-13 12:18:41+00:00,2020-04-14 01:28:22+00:00,20200414,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
90993,147547,MPH8372,MP8372,4844ef,PH-MPS,B744,FAGM,EHAM,2020-04-13 12:53:17+00:00,2020-04-14 05:34:41+00:00,20200414,Rand Airport,-26.2425003052,28.151199340799998,5483.0,AF,ZA,ZA-GT,Johannesburg,FAGM,QRA,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
91079,147666,ABW178,RU178,424379,VP-BBY,B748,EHAM,ZGSZ,2020-04-13 13:08:25+00:00,2020-04-14 02:37:05+00:00,20200414,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Shenzhen Bao'an International Airport,22.639299392700195,113.81099700927734,13.0,AS,CN,CN-44,Shenzhen,ZGSZ,SZX,
91253,147934,QTR8940,QR8940,06a2c8,A7-BGA,B748,OTHH,OTHH,2020-04-13 13:41:19+00:00,2020-04-14 08:41:58+00:00,20200414,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
91318,148035,UAL2773,UA2773,a2e014,N2846U,,VHHH,KLAX,2020-04-13 13:52:26+00:00,2020-04-14 01:55:59+00:00,20200414,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX
