,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
602044,CSN461,CZ461,780da9,B-2027,B77L,KORD,EDDF,2020-03-26 00:25:14+00:00,2020-03-27 11:28:57+00:00,20200327,Chicago O'Hare International Airport,41.9786,-87.9048,672.0,,US,US-IL,Chicago,KORD,ORD,ORD,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
604215,ETH574,,04004c,ET-AOV,B788,SBGR,EIDW,2020-03-26 04:59:58+00:00,2020-03-27 03:22:23+00:00,20200327,Guarulhos - Governador Andr茅 Franco Montoro International Airport,-23.435556411743164,-46.47305679321289,2459.0,SA,BR,BR-SP,S茫o Paulo,SBGR,GRU,,Dublin Airport,53.421299,-6.27007,242.0,EU,IE,IE-D,Dublin,EIDW,DUB,
604367,QTR954,QR954,06a0aa,A7-BCF,B788,OTHH,OTHH,2020-03-26 05:37:19+00:00,2020-03-27 01:58:43+00:00,20200327,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
604828,MPH8122,,4841c4,PH-CKB,B744,EHAM,EHAM,2020-03-26 07:37:51+00:00,2020-03-27 11:23:29+00:00,20200327,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
604881,CFG8482,,3c4aa2,D-ABUB,B763,EDDF,EDDF,2020-03-26 07:49:55+00:00,2020-03-27 07:03:23+00:00,20200327,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
604911,UPS32,5X32,a77b6f,N581UP,B744,KSDF,YSSY,2020-03-26 07:56:29+00:00,2020-03-27 05:51:13+00:00,20200327,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
605251,ETH3685,,040159,,,VHHH,OMSJ,2020-03-26 09:13:40+00:00,2020-03-27 00:12:49+00:00,20200327,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Sharjah International Airport,25.32859992980957,55.5172004699707,111.0,AS,AE,AE-SH,Sharjah,OMSJ,SHJ,
605563,QTR8960,QR8960,06a2e0,,,OTHH,OTHH,2020-03-26 10:07:56+00:00,2020-03-27 06:25:45+00:00,20200327,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
605728,UAE9871,,8963a1,A6-EFN,B77L,OMDW,OMDW,2020-03-26 10:24:15+00:00,2020-03-27 03:42:59+00:00,20200327,Al Maktoum International Airport,24.896356,55.161389,114.0,AS,AE,AE-DU,Jebel Ali,OMDW,DWC,,Al Maktoum International Airport,24.896356,55.161389,114.0,AS,AE,AE-DU,Jebel Ali,OMDW,DWC,
605746,AFR841,AF841,394a0d,F-GSQN,B77W,LFPO,LFPO,2020-03-26 10:26:48+00:00,2020-03-27 08:22:53+00:00,20200327,Paris-Orly Airport,48.7233333,2.3794444,291.0,EU,FR,FR-IDF,Paris,LFPO,ORY,,Paris-Orly Airport,48.7233333,2.3794444,291.0,EU,FR,FR-IDF,Paris,LFPO,ORY,
605767,UPS58,,a7dba2,N605UP,B748,KONT,VHHH,2020-03-26 10:29:28+00:00,2020-03-27 06:20:22+00:00,20200327,Ontario International Airport,34.05599975585937,-117.60099792480469,944.0,,US,US-CA,Ontario,KONT,ONT,ONT,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
606224,FDX31,,ac1846,N879FD,,KOAK,RKSI,2020-03-26 11:17:24+00:00,2020-03-27 02:43:27+00:00,20200327,Metropolitan Oakland International Airport,37.721298,-122.221001,9.0,,US,US-CA,Oakland,KOAK,OAK,OAK,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
606315,SIA317,SQ317,76cd77,,,EGLL,WSAP,2020-03-26 11:28:08+00:00,2020-03-27 00:01:14+00:00,20200327,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,,Paya Lebar Air Base,1.360419988632202,103.91000366210938,65.0,AS,SG,SG-04,,WSAP,QPG,
606354,SOO237,9S237,a95ca4,N702GT,B77L,KCVG,RKSI,2020-03-26 11:32:17+00:00,2020-03-27 02:08:10+00:00,20200327,Cincinnati Northern Kentucky International Airport,39.0488014221,-84.6678009033,896.0,,US,US-KY,Cincinnati,KCVG,CVG,CVG,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
606441,KAL270,KE270,71c251,HL8251,B77L,KJFK,RKSI,2020-03-26 11:42:16+00:00,2020-03-27 02:19:49+00:00,20200327,John F Kennedy International Airport,40.63980103,-73.77890015,13.0,,US,US-NY,New York,KJFK,JFK,JFK,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
606455,CES554,MU554,780f39,B-7343,B77W,LFPG,YSSY,2020-03-26 11:43:50+00:00,2020-03-27 22:46:31+00:00,20200327,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
606467,BOX590,,3c4589,D-AALI,B77L,EDDP,VHHH,2020-03-26 11:45:19+00:00,2020-03-27 05:33:57+00:00,20200327,Leipzig/Halle Airport,51.423889,12.236388999999999,465.0,EU,DE,DE-SN,Leipzig,EDDP,LEJ,,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
606526,QFA1,QF1,7c492a,VH-OQK,A388,YSSY,EGLL,2020-03-26 11:53:42+00:00,2020-03-27 11:28:28+00:00,20200327,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,
606548,QFA9,QF9,7c806a,,,YPPH,EGLL,2020-03-26 11:55:59+00:00,2020-03-27 04:41:12+00:00,20200327,Perth International Airport,-31.94029998779297,115.96700286865234,67.0,OC,AU,AU-WA,Perth,YPPH,PER,,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,
606741,QFA10,QF10,7c8067,,,EGLL,YPPH,2020-03-26 12:13:46+00:00,2020-03-27 05:03:24+00:00,20200327,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,,Perth International Airport,-31.94029998779297,115.96700286865234,67.0,OC,AU,AU-WA,Perth,YPPH,PER,
606790,HAL16,HA16,a4960c,N395HA,A332,RJTT,KSAN,2020-03-26 12:17:43+00:00,2020-03-27 04:16:53+00:00,20200327,Tokyo Haneda International Airport,35.552299,139.779999,35.0,AS,JP,JP-13,Tokyo,RJTT,HND,,San Diego International Airport,32.7336006165,-117.190002441,17.0,,US,US-CA,San Diego,KSAN,SAN,SAN
606995,DLH9913,LH9913,3c64f5,D-AIGU,A343,EDDF,MROC,2020-03-26 12:36:59+00:00,2020-03-27 00:35:23+00:00,20200327,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Juan Santamaria International Airport,9.993860244750977,-84.20880126953125,3021.0,,CR,CR-A,San Jose,MROC,SJO,
607003,AFR275,AF275,3965b4,F-GZNU,B77W,LFPG,LFPG,2020-03-26 12:37:37+00:00,2020-03-27 14:04:22+00:00,20200327,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,
607019,KLM719,KL719,484415,PH-BQL,B772,EHAM,MROC,2020-03-26 12:38:53+00:00,2020-03-27 00:01:58+00:00,20200327,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Juan Santamaria International Airport,9.993860244750977,-84.20880126953125,3021.0,,CR,CR-A,San Jose,MROC,SJO,
