,Col0,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
72374,116678,CSN452,CZ452,7805a9,B-2073,B77L,EHAM,PANC,2020-04-10 06:47:29+00:00,2020-04-11 06:48:11+00:00,20200411,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC
72393,116716,CSN469,CZ469,7804c7,B-2072,B77L,EHAM,EDDF,2020-04-10 06:58:22+00:00,2020-04-11 08:41:28+00:00,20200411,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
72557,117058,UPS32,5X32,a757a7,N572UP,B744,KSDF,YSSY,2020-04-10 08:19:06+00:00,2020-04-11 05:42:19+00:00,20200411,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
72582,117122,FDX5126,FX5126,ac2d32,N884FD,B77L,PANC,EBLG,2020-04-10 08:28:13+00:00,2020-04-11 09:57:17+00:00,20200411,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC,Li猫ge Airport,50.63740158081055,5.443220138549805,659.0,EU,BE,BE-WLG,Li猫ge,EBLG,LGG,
72741,117521,UPS68,5X68,a2b728,N274UP,MD11,KSDF,VHHH,2020-04-10 09:28:49+00:00,2020-04-11 08:24:47+00:00,20200411,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
72851,117756,AFR178,AF178,3965a1,F-GZNB,B77W,LFPG,LFPG,2020-04-10 10:08:26+00:00,2020-04-11 10:27:18+00:00,20200411,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,
72893,117825,UPS58,5X58,a7dba2,N605UP,B748,KONT,VHHH,2020-04-10 10:16:53+00:00,2020-04-11 08:36:55+00:00,20200411,Ontario International Airport,34.05599975585937,-117.60099792480469,944.0,,US,US-CA,Ontario,KONT,ONT,ONT,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
72990,117990,LCO1741,UC1741,a6cf20,N538LA,,SBGR,KMIA,2020-04-10 10:42:39+00:00,2020-04-11 00:09:08+00:00,20200411,Guarulhos - Governador Andr茅 Franco Montoro International Airport,-23.435556411743164,-46.47305679321289,2459.0,SA,BR,BR-SP,S茫o Paulo,SBGR,GRU,,Miami International Airport,25.79319953918457,-80.29060363769531,8.0,,US,US-FL,Miami,KMIA,MIA,MIA
73048,118099,GEC8400,LH8400,3c70c4,D-ALFD,B77L,EDDF,RKSI,2020-04-10 10:55:43+00:00,2020-04-11 02:23:24+00:00,20200411,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
73072,118130,FDX77,FX77,ac148f,N878FD,B77L,KOAK,YSSY,2020-04-10 11:01:08+00:00,2020-04-11 05:30:58+00:00,20200411,Metropolitan Oakland International Airport,37.721298,-122.221001,9.0,,US,US-CA,Oakland,KOAK,OAK,OAK,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
73121,118212,UAE407,EK407,896111,A6-ECJ,B77W,YMML,OMDB,2020-04-10 11:10:22+00:00,2020-04-11 00:30:14+00:00,20200411,Melbourne International Airport,-37.673302,144.843002,434.0,OC,AU,AU-VIC,Melbourne,YMML,MEL,,Dubai International Airport,25.252799987800003,55.3643989563,62.0,AS,AE,AE-DU,Dubai,OMDB,DXB,
73189,118315,KLM894,KL894,4851f6,PH-BVS,B77W,RKSI,EHAM,2020-04-10 11:20:39+00:00,2020-04-11 02:19:59+00:00,20200411,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
73231,118382,CSN463,CZ463,780daa,B-2028,B77L,KLAX,EDDF,2020-04-10 11:31:18+00:00,2020-04-11 15:41:11+00:00,20200411,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
73286,118475,AFR275,AF275,3965b4,F-GZNU,B77W,LFPG,LFPG,2020-04-10 11:42:47+00:00,2020-04-11 13:55:43+00:00,20200411,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,
73375,118623,MPH8342,MP8342,4841c3,PH-CKA,B744,FABA,EHAM,2020-04-10 12:01:20+00:00,2020-04-11 04:51:29+00:00,20200411,Microland Flight Park,-25.976255771599998,28.389015197800003,5476.0,AF,ZA,ZA-GT,Bapsfontein,FABA,,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
73425,3637,SIA38,SQ38,76cdb6,9V-SMV,A359,WSSS,KLAX,2020-04-10 12:09:04+00:00,2020-04-11 03:06:19+00:00,20200411,Singapore Changi Airport,1.35019,103.994003,22.0,AS,SG,SG-04,Singapore,WSSS,SIN,,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX
73480,118791,LCO1109,UC1109,e80241,CC-CZZ,B763,SAEZ,KLAX,2020-04-10 12:16:38+00:00,2020-04-11 15:10:47+00:00,20200411,Ministro Pistarini International Airport,-34.8222,-58.5358,67.0,SA,AR,AR-B,Buenos Aires,SAEZ,EZE,EZE,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX
73704,119160,LCO1509,UC1509,a6c7b2,N536LA,,SBKP,KMIA,2020-04-10 12:52:55+00:00,2020-04-11 02:26:43+00:00,20200411,Viracopos International Airport,-23.0074005127,-47.1344985962,2170.0,SA,BR,BR-SP,Campinas,SBKP,VCP,,Miami International Airport,25.79319953918457,-80.29060363769531,8.0,,US,US-FL,Miami,KMIA,MIA,MIA
73714,119177,CAL5235,CI5235,899104,B-18718,B744,KSEA,RCTP,2020-04-10 12:54:47+00:00,2020-04-11 00:57:09+00:00,20200411,Seattle Tacoma International Airport,47.449001,-122.308998,433.0,,US,US-WA,Seattle,KSEA,SEA,SEA,Taiwan Taoyuan International Airport,25.0777,121.233002,106.0,AS,TW,TW-TAO,Taipei,RCTP,TPE,
73740,119213,CLX7309,CV7309,4d0128,LX-SCV,B744,VHHH,ELLX,2020-04-10 12:59:29+00:00,2020-04-11 04:06:59+00:00,20200411,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Luxembourg-Findel International Airport,49.6233333,6.204444400000001,1234.0,EU,LU,LU-L,Luxembourg,ELLX,LUX,
