,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
600866,EIN104,EI104,4ca782,EI-EDY,A333,KJFK,EIDW,2020-03-25 22:36:39+00:00,2020-03-26 04:22:29+00:00,20200326,John F Kennedy International Airport,40.63980103,-73.77890015,13.0,,US,US-NY,New York,KJFK,JFK,JFK,Dublin Airport,53.421299,-6.27007,242.0,EU,IE,IE-D,Dublin,EIDW,DUB,
600867,ASQ4144,EV4144,a7d43c,N603UX,,KGRR,KIAH,2020-03-25 22:36:39+00:00,2020-03-26 01:14:14+00:00,20200326,Gerald R. Ford International Airport,42.88079834,-85.52279663,794.0,,US,US-MI,Grand Rapids,KGRR,GRR,GRR,George Bush Intercontinental Houston Airport,29.98439979553223,-95.34140014648438,97.0,,US,US-TX,Houston,KIAH,IAH,IAH
600868,AAY688,,a24ef7,N248NV,A320,KIWA,KRFD,2020-03-25 22:36:40+00:00,2020-03-26 01:02:43+00:00,20200326,Phoenix-Mesa-Gateway Airport,33.30780029,-111.65499879999999,1382.0,,US,US-AZ,Phoenix,KIWA,AZA,IWA,Chicago Rockford International Airport,42.19540023803711,-89.09719848632812,742.0,,US,US-IL,Chicago/Rockford,KRFD,RFD,RFD
600870,FFT1210,F91210,a3c900,N343FR,,KSTL,KISM,2020-03-25 22:36:43+00:00,2020-03-26 00:12:27+00:00,20200326,St Louis Lambert International Airport,38.748697,-90.370003,618.0,,US,US-MO,St Louis,KSTL,STL,STL,Kissimmee Gateway Airport,28.289800643899998,-81.43710327149999,82.0,,US,US-FL,Orlando,KISM,ISM,ISM
600872,UAL640,UA640,a885f4,N64844,B739,KLAS,KORD,2020-03-25 22:37:03+00:00,2020-03-26 01:12:26+00:00,20200326,McCarran International Airport,36.08010101,-115.15200039999999,2181.0,,US,US-NV,Las Vegas,KLAS,LAS,LAS,Chicago O'Hare International Airport,41.9786,-87.9048,672.0,,US,US-IL,Chicago,KORD,ORD,ORD
600874,SKW3642,,ac533c,N8933B,CRJ2,KATL,2IN4,2020-03-25 22:37:04+00:00,2020-03-26 00:01:07+00:00,20200326,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026.0,,US,US-GA,Atlanta,KATL,ATL,ATL,Scott Field,41.25669860839844,-86.189697265625,810.0,,US,US-IN,Argos,2IN4,,2IN4
600877,AFL2453,SU2453,4249b6,VQ-BIU,A320,LFPG,UUEE,2020-03-25 22:37:44+00:00,2020-03-26 02:14:59+00:00,20200326,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,,Sheremetyevo International Airport,55.972599,37.4146,622.0,EU,RU,RU-MOS,Moscow,UUEE,SVO,
600879,SWA1035,WN1035,abdd4a,N8637A,B738,KAUS,KBWI,2020-03-25 22:37:56+00:00,2020-03-26 01:28:40+00:00,20200326,Austin Bergstrom International Airport,30.194499969482425,-97.6698989868164,542.0,,US,US-TX,Austin,KAUS,AUS,AUS,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,146.0,,US,US-MD,Baltimore,KBWI,BWI,BWI
600880,SOO3604,9S3604,a67399,N5147A,,KRFD,FL35,2020-03-25 22:38:04+00:00,2020-03-26 00:28:13+00:00,20200326,Chicago Rockford International Airport,42.19540023803711,-89.09719848632812,742.0,,US,US-IL,Chicago/Rockford,KRFD,RFD,RFD,Geraci Airpark,28.17499923706055,-82.48777770996094,65.0,,US,US-FL,Lutz,FL35,,FL35
600882,QTR7LN,QR41,06a2c7,,,OTHH,LFPG,2020-03-25 22:38:12+00:00,2020-03-26 04:49:40+00:00,20200326,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,
600883,UAL2802,UA2802,a31a56,N29977,,KORD,EDDF,2020-03-25 22:38:22+00:00,2020-03-26 06:08:19+00:00,20200326,Chicago O'Hare International Airport,41.9786,-87.9048,672.0,,US,US-IL,Chicago,KORD,ORD,ORD,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
