,Col0,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
65422,105436,UPS32,5X32,a76df1,N578UP,B744,KSDF,YSSY,2020-04-09 08:09:10+00:00,2020-04-10 04:40:59+00:00,20200410,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
65466,105547,CLX6604,CV6604,4d0111,LX-VCH,B748,ELLX,KLAX,2020-04-09 08:26:59+00:00,2020-04-10 02:16:44+00:00,20200410,Luxembourg-Findel International Airport,49.6233333,6.204444400000001,1234.0,EU,LU,LU-L,Luxembourg,ELLX,LUX,,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX
65477,105566,QFA129,QF129,7c531c,VH-QPA,A333,YSSY,YSSY,2020-04-09 08:30:12+00:00,2020-04-10 06:52:51+00:00,20200410,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
65493,105607,QTR860,QR860,06a031,A7-AEA,A333,OTHH,OTHH,2020-04-09 08:36:36+00:00,2020-04-10 02:20:17+00:00,20200410,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
65799,106296,SVA818,SV818,710059,HZ-AK17,B77W,OERK,OERK,2020-04-09 10:10:51+00:00,2020-04-10 05:30:56+00:00,20200410,King Khaled International Airport,24.957599639892575,46.69879913330078,2049.0,AS,SA,SA-01,Riyadh,OERK,RUH,,King Khaled International Airport,24.957599639892575,46.69879913330078,2049.0,AS,SA,SA-01,Riyadh,OERK,RUH,
65839,106353,GTI38,5Y38,a5d4c3,N475MC,B744,KMIA,KMIA,2020-04-09 10:16:54+00:00,2020-04-10 07:37:00+00:00,20200410,Miami International Airport,25.79319953918457,-80.29060363769531,8.0,,US,US-FL,Miami,KMIA,MIA,MIA,Miami International Airport,25.79319953918457,-80.29060363769531,8.0,,US,US-FL,Miami,KMIA,MIA,MIA
65843,106357,UPS58,5X58,a80e46,N618UP,,KONT,VHHH,2020-04-09 10:17:19+00:00,2020-04-10 07:28:16+00:00,20200410,Ontario International Airport,34.05599975585937,-117.60099792480469,944.0,,US,US-CA,Ontario,KONT,ONT,ONT,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
66038,106720,UAE407,EK407,896119,A6-ECR,B77W,YMML,OMDB,2020-04-09 11:04:19+00:00,2020-04-10 00:13:59+00:00,20200410,Melbourne International Airport,-37.673302,144.843002,434.0,OC,AU,AU-VIC,Melbourne,YMML,MEL,,Dubai International Airport,25.252799987800003,55.3643989563,62.0,AS,AE,AE-DU,Dubai,OMDB,DXB,
66146,106894,KAL270,KE270,71c044,HL8044,B77L,KJFK,RKSI,2020-04-09 11:22:29+00:00,2020-04-10 01:02:29+00:00,20200410,John F Kennedy International Airport,40.63980103,-73.77890015,13.0,,US,US-NY,New York,KJFK,JFK,JFK,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
66357,107264,BOX590,3S590,3c4589,D-AALI,B77L,EDDP,VHHH,2020-04-09 12:05:37+00:00,2020-04-10 06:55:25+00:00,20200410,Leipzig/Halle Airport,51.423889,12.236388999999999,465.0,EU,DE,DE-SN,Leipzig,EDDP,LEJ,,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
