,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
578078,ETH672,ET672,040102,ET-ASH,B788,SBGR,RKSI,2020-03-24 04:34:38+00:00,2020-03-25 06:26:54+00:00,20200325,Guarulhos - Governador Andr茅 Franco Montoro International Airport,-23.435556411743164,-46.47305679321289,2459.0,SA,BR,BR-SP,S茫o Paulo,SBGR,GRU,,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
578153,AFL150,SU150,42423f,VP-BLY,A332,UUEE,UUEE,2020-03-24 04:52:19+00:00,2020-03-25 06:30:00+00:00,20200325,Sheremetyevo International Airport,55.972599,37.4146,622.0,EU,RU,RU-MOS,Moscow,UUEE,SVO,,Sheremetyevo International Airport,55.972599,37.4146,622.0,EU,RU,RU-MOS,Moscow,UUEE,SVO,
578374,QTR954,,06a0a9,A7-BCE,B788,OTHH,OTHH,2020-03-24 05:41:11+00:00,2020-03-25 01:55:40+00:00,20200325,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
578925,QFA1,QF1,7c492b,VH-OQL,A388,YSSY,EGLL,2020-03-24 07:45:45+00:00,2020-03-25 07:01:39+00:00,20200325,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,
578955,UAE358,EK358,8963e3,A6-EPT,B77W,OMDB,OMDB,2020-03-24 07:51:18+00:00,2020-03-25 01:26:59+00:00,20200325,Dubai International Airport,25.252799987800003,55.3643989563,62.0,AS,AE,AE-DU,Dubai,OMDB,DXB,,Dubai International Airport,25.252799987800003,55.3643989563,62.0,AS,AE,AE-DU,Dubai,OMDB,DXB,
578993,UPS32,5X32,a757a7,N572UP,B744,KSDF,YSSY,2020-03-24 08:00:16+00:00,2020-03-25 05:35:13+00:00,20200325,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
579123,CFG8414,,3c4ab3,D-ABUS,B763,EDDF,EDDF,2020-03-24 08:29:12+00:00,2020-03-25 08:34:27+00:00,20200325,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
579724,UPS56,,a80a8f,N617UP,,KONT,VHHH,2020-03-24 10:12:52+00:00,2020-03-25 06:10:04+00:00,20200325,Ontario International Airport,34.05599975585937,-117.60099792480469,944.0,,US,US-CA,Ontario,KONT,ONT,ONT,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
579925,SBI2510,S72510,42433d,,,ULLI,UUDD,2020-03-24 10:32:52+00:00,2020-03-25 12:59:33+00:00,20200325,Pulkovo Airport,59.80030059814453,30.26250076293945,78.0,EU,RU,RU-SPE,St. Petersburg,ULLI,LED,,Domodedovo International Airport,55.40879821777344,37.90629959106445,588.0,EU,RU,RU-MOS,Moscow,UUDD,DME,
579979,CPA826,CX826,789215,,,VHHH,CYYZ,2020-03-24 10:38:18+00:00,2020-03-25 00:47:26+00:00,20200325,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Lester B. Pearson International Airport,43.6772003174,-79.63059997559999,569.0,,CA,CA-ON,Toronto,CYYZ,YYZ,YYZ
580045,AFR841,AF841,394a12,F-GSQS,B77W,LFPO,LFPO,2020-03-24 10:45:35+00:00,2020-03-25 07:19:39+00:00,20200325,Paris-Orly Airport,48.7233333,2.3794444,291.0,EU,FR,FR-IDF,Paris,LFPO,ORY,,Paris-Orly Airport,48.7233333,2.3794444,291.0,EU,FR,FR-IDF,Paris,LFPO,ORY,
580064,AFR179,AF179,394a02,F-GSQC,B77W,LFPG,LFPG,2020-03-24 10:48:53+00:00,2020-03-25 12:39:32+00:00,20200325,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,
580103,CLX5327,,4d0103,LX-VCA,B748,VHHH,ELLX,2020-03-24 10:53:03+00:00,2020-03-25 00:42:27+00:00,20200325,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Luxembourg-Findel International Airport,49.6233333,6.204444400000001,1234.0,EU,LU,LU-L,Luxembourg,ELLX,LUX,
580140,FDX77,,aba7d9,N850FD,B77L,KOAK,YSSY,2020-03-24 10:56:49+00:00,2020-03-25 06:49:57+00:00,20200325,Metropolitan Oakland International Airport,37.721298,-122.221001,9.0,,US,US-CA,Oakland,KOAK,OAK,OAK,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
580279,ETD455,EY455,89649d,A6-API,A388,YSSY,OMAA,2020-03-24 11:07:13+00:00,2020-03-25 01:29:53+00:00,20200325,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,,Abu Dhabi International Airport,24.433000564575195,54.651100158691406,88.0,AS,AE,AE-AZ,Abu Dhabi,OMAA,AUH,
580621,CKK211,CK211,78037c,B-2426,B744,VTBS,EDDF,2020-03-24 11:33:29+00:00,2020-03-25 12:08:54+00:00,20200325,Suvarnabhumi Airport,13.681099891662598,100.74700164794922,5.0,AS,TH,TH-10,Bangkok,VTBS,BKK,,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
580629,CPA846,CX846,780204,B-KPD,B77W,VHHH,KJFK,2020-03-24 11:33:48+00:00,2020-03-25 02:40:25+00:00,20200325,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,John F Kennedy International Airport,40.63980103,-73.77890015,13.0,,US,US-NY,New York,KJFK,JFK,JFK
