,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
615105,OAE545,,a45199,N378AX,B763,PANC,KAFW,2020-03-27 01:53:27+00:00,2020-03-28 03:00:29+00:00,20200328,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC,Fort Worth Alliance Airport,32.9875984192,-97.3188018799,722.0,,US,US-TX,Fort Worth,KAFW,AFW,AFW
616270,ETH574,,040046,ET-AOP,B788,SBGR,EIDW,2020-03-27 04:43:20+00:00,2020-03-28 03:38:55+00:00,20200328,Guarulhos - Governador Andr茅 Franco Montoro International Airport,-23.435556411743164,-46.47305679321289,2459.0,SA,BR,BR-SP,S茫o Paulo,SBGR,GRU,,Dublin Airport,53.421299,-6.27007,242.0,EU,IE,IE-D,Dublin,EIDW,DUB,
616458,QTR954,QR954,06a0c0,A7-BDB,B788,OTHH,OTHH,2020-03-27 05:31:19+00:00,2020-03-28 01:45:58+00:00,20200328,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
616719,CES219,MU219,781634,,,VTBS,EDDF,2020-03-27 06:44:49+00:00,2020-03-28 04:21:56+00:00,20200328,Suvarnabhumi Airport,13.681099891662598,100.74700164794922,5.0,AS,TH,TH-10,Bangkok,VTBS,BKK,,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
616770,CSN463,CZ463,780da8,B-2026,B77L,KLAX,EDDF,2020-03-27 07:02:29+00:00,2020-03-28 13:23:27+00:00,20200328,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
616997,UPS32,5X32,a75b5e,N573UP,B744,KSDF,YSSY,2020-03-27 08:00:13+00:00,2020-03-28 05:50:26+00:00,20200328,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
617164,CSN452,CZ452,780aec,B-2042,B77L,EHAM,PANC,2020-03-27 08:39:20+00:00,2020-03-28 08:28:42+00:00,20200328,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC
617236,QTR8960,QR8960,06a1ea,A7-BFM,B77L,OTHH,OTHH,2020-03-27 09:01:25+00:00,2020-03-28 05:41:59+00:00,20200328,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
617641,UPS58,,a80e46,N618UP,,KONT,VHHH,2020-03-27 10:15:48+00:00,2020-03-28 08:18:57+00:00,20200328,Ontario International Airport,34.05599975585937,-117.60099792480469,944.0,,US,US-CA,Ontario,KONT,ONT,ONT,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
617820,FDX77,,ac5868,N895FD,B77L,KOAK,YSSY,2020-03-27 10:38:33+00:00,2020-03-28 06:32:50+00:00,20200328,Metropolitan Oakland International Airport,37.721298,-122.221001,9.0,,US,US-CA,Oakland,KOAK,OAK,OAK,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
